[14:32:18.174] [INFO   ] thread main starting.
[14:32:18.193] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:32:18.201] [SEVERE ] configuration file was loaded from resources directory.
[14:32:19.566] [INFO   ] thread dealer starting.
[14:32:19.569] [INFO   ] thread dealer starting.
[14:32:19.571] [SEVERE ] updating countdown to 60000
[14:32:19.575] [INFO   ] thread Player 0 starting.
[14:32:19.575] [INFO   ] thread Player 1 starting.
[14:32:19.693] [SEVERE ] placing card 0 in slot 9
[14:32:19.794] [SEVERE ] placing card 1 in slot 8
[14:32:19.895] [SEVERE ] placing card 2 in slot 2
[14:32:19.996] [SEVERE ] placing card 3 in slot 1
[14:32:20.097] [SEVERE ] placing card 4 in slot 4
[14:32:20.198] [SEVERE ] placing card 5 in slot 5
[14:32:20.299] [SEVERE ] placing card 6 in slot 10
[14:32:20.400] [SEVERE ] placing card 7 in slot 3
[14:32:20.501] [SEVERE ] placing card 8 in slot 11
[14:32:20.602] [SEVERE ] placing card 9 in slot 0
[14:32:20.703] [SEVERE ] placing card 10 in slot 7
[14:32:20.804] [SEVERE ] placing card 11 in slot 6
[14:32:20.805] [SEVERE ] updating countdown to 60000
[14:32:20.806] [SEVERE ] updating countdown to 59999
[14:32:20.806] [SEVERE ] updating countdown to 59999
[14:32:20.807] [SEVERE ] updating countdown to 59998
[14:32:20.808] [SEVERE ] updating countdown to 59997
[14:32:20.808] [SEVERE ] updating countdown to 59997
[14:32:20.809] [SEVERE ] updating countdown to 59996
[14:32:20.810] [SEVERE ] updating countdown to 59995
[14:32:20.810] [SEVERE ] updating countdown to 59995
[14:32:20.812] [SEVERE ] updating countdown to 59993
[14:32:20.814] [SEVERE ] updating countdown to 59991
[14:32:20.814] [SEVERE ] updating countdown to 59991
[14:32:20.815] [SEVERE ] updating countdown to 59990
[14:32:20.815] [SEVERE ] updating countdown to 59990
[14:32:20.816] [SEVERE ] updating countdown to 59989
[14:32:20.816] [SEVERE ] updating countdown to 59989
[14:32:20.817] [SEVERE ] updating countdown to 59988
[14:32:20.817] [SEVERE ] updating countdown to 59988
[14:32:20.818] [SEVERE ] updating countdown to 59987
[14:32:20.819] [SEVERE ] updating countdown to 59986
[14:32:20.820] [SEVERE ] updating countdown to 59985
[14:32:20.820] [SEVERE ] updating countdown to 59985
[14:32:20.821] [SEVERE ] updating countdown to 59984
[14:32:20.821] [SEVERE ] updating countdown to 59984
[14:32:20.821] [SEVERE ] updating countdown to 59984
[14:32:20.822] [SEVERE ] updating countdown to 59983
[14:32:20.822] [SEVERE ] updating countdown to 59983
