[09:07:28.338] [INFO   ] thread main starting.
[09:07:28.358] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:07:28.367] [SEVERE ] configuration file was loaded from resources directory.
[09:07:29.792] [INFO   ] thread dealer starting.
[09:07:29.795] [INFO   ] thread dealer starting.
[09:07:29.798] [INFO   ] thread Player 0 starting.
[09:07:29.798] [INFO   ] thread Player 1 starting.
[09:07:29.809] [SEVERE ] updating countdown to 60000
[09:07:29.811] [SEVERE ] updating countdown to 59998
[09:07:29.813] [SEVERE ] updating countdown to 59996
[09:07:29.816] [SEVERE ] updating countdown to 59993
[09:07:29.818] [SEVERE ] updating countdown to 59992
[09:07:29.819] [SEVERE ] updating countdown to 59990
[09:07:29.821] [SEVERE ] updating countdown to 59988
[09:07:29.823] [SEVERE ] updating countdown to 59986
[09:07:29.824] [SEVERE ] updating countdown to 59985
[09:07:29.825] [SEVERE ] updating countdown to 59984
[09:07:29.827] [SEVERE ] updating countdown to 59982
[09:07:29.829] [SEVERE ] updating countdown to 59980
[09:07:29.830] [SEVERE ] updating countdown to 59979
[09:07:29.831] [SEVERE ] updating countdown to 59978
[09:07:29.832] [SEVERE ] updating countdown to 59977
[09:07:29.833] [SEVERE ] updating countdown to 59976
[09:07:29.833] [SEVERE ] updating countdown to 59976
[09:07:29.834] [SEVERE ] updating countdown to 59975
[09:07:29.835] [SEVERE ] updating countdown to 59974
[09:07:29.836] [SEVERE ] updating countdown to 59973
[09:07:29.836] [SEVERE ] updating countdown to 59973
[09:07:29.838] [SEVERE ] updating countdown to 59971
[09:07:29.840] [SEVERE ] updating countdown to 59969
[09:07:29.841] [SEVERE ] updating countdown to 59968
[09:07:29.842] [SEVERE ] updating countdown to 59967
[09:07:29.844] [SEVERE ] updating countdown to 59965
[09:07:29.845] [SEVERE ] updating countdown to 59964
[09:07:29.846] [SEVERE ] updating countdown to 59963
[09:07:29.846] [SEVERE ] updating countdown to 59963
[09:07:29.847] [SEVERE ] updating countdown to 59962
[09:07:29.847] [SEVERE ] updating countdown to 59962
[09:07:29.848] [SEVERE ] updating countdown to 59961
[09:07:29.848] [SEVERE ] updating countdown to 59961
[09:07:29.848] [SEVERE ] updating countdown to 59961
[09:07:29.848] [SEVERE ] updating countdown to 59961
[09:07:29.849] [SEVERE ] updating countdown to 59960
[09:07:29.849] [SEVERE ] updating countdown to 59960
[09:07:29.850] [SEVERE ] updating countdown to 59959
[09:07:29.850] [SEVERE ] updating countdown to 59959
[09:07:29.850] [SEVERE ] updating countdown to 59959
[09:07:29.851] [SEVERE ] updating countdown to 59958
[09:07:29.851] [SEVERE ] updating countdown to 59958
[09:07:29.851] [SEVERE ] updating countdown to 59958
[09:07:29.852] [SEVERE ] updating countdown to 59957
[09:07:29.852] [SEVERE ] updating countdown to 59957
[09:07:29.852] [SEVERE ] updating countdown to 59957
[09:07:29.853] [SEVERE ] updating countdown to 59956
[09:07:29.854] [SEVERE ] updating countdown to 59955
[09:07:29.855] [SEVERE ] updating countdown to 59954
[09:07:29.855] [SEVERE ] updating countdown to 59954
[09:07:29.856] [SEVERE ] updating countdown to 59953
[09:07:29.856] [SEVERE ] updating countdown to 59953
[09:07:29.857] [SEVERE ] updating countdown to 59952
[09:07:29.857] [SEVERE ] updating countdown to 59952
[09:07:29.857] [SEVERE ] updating countdown to 59952
[09:07:29.858] [SEVERE ] updating countdown to 59951
[09:07:29.858] [SEVERE ] updating countdown to 59951
[09:07:29.859] [SEVERE ] updating countdown to 59950
[09:07:29.860] [SEVERE ] updating countdown to 59949
[09:07:29.861] [SEVERE ] updating countdown to 59948
[09:07:29.862] [SEVERE ] updating countdown to 59947
[09:07:29.863] [SEVERE ] updating countdown to 59946
[09:07:29.863] [SEVERE ] updating countdown to 59946
[09:07:29.864] [SEVERE ] updating countdown to 59945
[09:07:29.864] [SEVERE ] updating countdown to 59945
[09:07:29.865] [SEVERE ] updating countdown to 59944
[09:07:29.866] [SEVERE ] updating countdown to 59943
[09:07:29.866] [SEVERE ] updating countdown to 59943
[09:07:29.866] [SEVERE ] updating countdown to 59943
[09:07:29.867] [SEVERE ] updating countdown to 59942
[09:07:29.867] [SEVERE ] updating countdown to 59942
[09:07:29.868] [SEVERE ] updating countdown to 59941
[09:07:29.868] [SEVERE ] updating countdown to 59941
[09:07:29.868] [SEVERE ] updating countdown to 59941
[09:07:29.869] [SEVERE ] updating countdown to 59940
[09:07:29.869] [SEVERE ] updating countdown to 59940
[09:07:29.871] [SEVERE ] updating countdown to 59938
[09:07:29.871] [SEVERE ] updating countdown to 59938
[09:07:29.872] [SEVERE ] updating countdown to 59937
[09:07:29.872] [SEVERE ] updating countdown to 59937
[09:07:29.873] [SEVERE ] updating countdown to 59936
[09:07:29.873] [SEVERE ] updating countdown to 59936
[09:07:29.874] [SEVERE ] updating countdown to 59935
[09:07:29.874] [SEVERE ] updating countdown to 59935
[09:07:29.874] [SEVERE ] updating countdown to 59935
[09:07:29.875] [SEVERE ] updating countdown to 59934
[09:07:29.876] [SEVERE ] updating countdown to 59933
[09:07:29.877] [SEVERE ] updating countdown to 59932
[09:07:29.878] [SEVERE ] updating countdown to 59931
[09:07:29.878] [SEVERE ] updating countdown to 59931
[09:07:29.878] [SEVERE ] updating countdown to 59931
[09:07:29.879] [SEVERE ] updating countdown to 59930
[09:07:29.879] [SEVERE ] updating countdown to 59930
[09:07:29.879] [SEVERE ] updating countdown to 59930
[09:07:29.880] [SEVERE ] updating countdown to 59929
[09:07:29.880] [SEVERE ] updating countdown to 59929
