[14:34:57.042] [INFO   ] thread main starting.
[14:34:57.059] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:34:57.068] [SEVERE ] configuration file was loaded from resources directory.
[14:34:58.416] [INFO   ] thread dealer starting.
[14:34:58.419] [INFO   ] thread dealer starting.
[14:34:58.421] [SEVERE ] updating countdown to 60000
[14:34:58.424] [INFO   ] thread Player 0 starting.
[14:34:58.424] [INFO   ] thread Player 1 starting.
[14:34:58.540] [SEVERE ] placing card 0 in slot 0
[14:34:58.641] [SEVERE ] placing card 1 in slot 5
[14:34:58.742] [SEVERE ] placing card 2 in slot 11
[14:34:58.843] [SEVERE ] placing card 3 in slot 8
[14:34:58.944] [SEVERE ] placing card 4 in slot 6
[14:34:59.045] [SEVERE ] placing card 5 in slot 1
[14:34:59.146] [SEVERE ] placing card 6 in slot 4
[14:34:59.248] [SEVERE ] placing card 7 in slot 2
[14:34:59.349] [SEVERE ] placing card 8 in slot 7
[14:34:59.450] [SEVERE ] placing card 9 in slot 3
[14:34:59.551] [SEVERE ] placing card 10 in slot 9
[14:34:59.652] [SEVERE ] placing card 11 in slot 10
[14:34:59.653] [SEVERE ] updating countdown to 60000
[14:34:59.654] [SEVERE ] updating countdown to 59999
[14:34:59.654] [SEVERE ] updating countdown to 59999
[14:34:59.655] [SEVERE ] updating countdown to 59998
[14:34:59.656] [SEVERE ] updating countdown to 59997
[14:34:59.657] [SEVERE ] updating countdown to 59996
[14:34:59.657] [SEVERE ] updating countdown to 59996
[14:34:59.658] [SEVERE ] updating countdown to 59995
[14:34:59.659] [SEVERE ] updating countdown to 59994
[14:34:59.659] [SEVERE ] updating countdown to 59994
[14:34:59.660] [SEVERE ] updating countdown to 59993
[14:34:59.661] [SEVERE ] updating countdown to 59992
[14:34:59.661] [SEVERE ] updating countdown to 59992
[14:34:59.662] [SEVERE ] updating countdown to 59991
[14:34:59.663] [SEVERE ] updating countdown to 59990
[14:34:59.664] [SEVERE ] updating countdown to 59989
[14:34:59.665] [SEVERE ] updating countdown to 59988
[14:34:59.665] [SEVERE ] updating countdown to 59988
[14:34:59.666] [SEVERE ] updating countdown to 59987
[14:34:59.666] [SEVERE ] updating countdown to 59987
[14:34:59.667] [SEVERE ] updating countdown to 59986
[14:34:59.667] [SEVERE ] updating countdown to 59986
[14:34:59.667] [SEVERE ] updating countdown to 59986
[14:34:59.668] [SEVERE ] updating countdown to 59985
[14:34:59.668] [SEVERE ] updating countdown to 59985
[14:34:59.670] [SEVERE ] updating countdown to 59983
[14:34:59.671] [SEVERE ] updating countdown to 59982
[14:34:59.672] [SEVERE ] updating countdown to 59981
[14:34:59.672] [SEVERE ] updating countdown to 59981
[14:34:59.673] [SEVERE ] updating countdown to 59980
[14:34:59.673] [SEVERE ] updating countdown to 59980
[14:34:59.673] [SEVERE ] updating countdown to 59980
[14:34:59.674] [SEVERE ] updating countdown to 59979
[14:34:59.674] [SEVERE ] updating countdown to 59979
[14:34:59.674] [SEVERE ] updating countdown to 59979
[14:34:59.675] [SEVERE ] updating countdown to 59978
[14:34:59.675] [SEVERE ] updating countdown to 59978
[14:34:59.675] [SEVERE ] updating countdown to 59978
[14:34:59.676] [SEVERE ] updating countdown to 59977
[14:34:59.676] [SEVERE ] updating countdown to 59977
[14:34:59.676] [SEVERE ] updating countdown to 59977
[14:34:59.676] [SEVERE ] updating countdown to 59977
[14:34:59.677] [SEVERE ] updating countdown to 59976
[14:34:59.677] [SEVERE ] updating countdown to 59976
[14:34:59.677] [SEVERE ] updating countdown to 59976
[14:34:59.678] [SEVERE ] updating countdown to 59975
[14:34:59.678] [SEVERE ] updating countdown to 59975
[14:34:59.679] [SEVERE ] updating countdown to 59974
[14:34:59.680] [SEVERE ] updating countdown to 59973
[14:34:59.681] [SEVERE ] updating countdown to 59972
[14:34:59.681] [SEVERE ] updating countdown to 59972
[14:34:59.681] [SEVERE ] updating countdown to 59972
[14:34:59.682] [SEVERE ] updating countdown to 59971
[14:34:59.682] [SEVERE ] updating countdown to 59971
[14:34:59.682] [SEVERE ] updating countdown to 59971
[14:34:59.683] [SEVERE ] updating countdown to 59970
[14:34:59.683] [SEVERE ] updating countdown to 59970
[14:34:59.683] [SEVERE ] updating countdown to 59970
[14:34:59.684] [SEVERE ] updating countdown to 59969
[14:34:59.684] [SEVERE ] updating countdown to 59969
[14:34:59.684] [SEVERE ] updating countdown to 59969
[14:34:59.685] [SEVERE ] updating countdown to 59968
[14:34:59.685] [SEVERE ] updating countdown to 59968
[14:34:59.685] [SEVERE ] updating countdown to 59968
[14:34:59.685] [SEVERE ] updating countdown to 59968
[14:34:59.686] [SEVERE ] updating countdown to 59967
[14:34:59.686] [SEVERE ] updating countdown to 59967
[14:34:59.687] [SEVERE ] updating countdown to 59966
[14:34:59.687] [SEVERE ] updating countdown to 59966
[14:34:59.688] [SEVERE ] updating countdown to 59965
[14:34:59.689] [SEVERE ] updating countdown to 59964
[14:34:59.690] [SEVERE ] updating countdown to 59964
[14:34:59.690] [SEVERE ] updating countdown to 59963
[14:34:59.691] [SEVERE ] updating countdown to 59962
[14:34:59.691] [SEVERE ] updating countdown to 59962
[14:34:59.691] [SEVERE ] updating countdown to 59962
[14:34:59.692] [SEVERE ] updating countdown to 59961
[14:34:59.692] [SEVERE ] updating countdown to 59961
[14:34:59.692] [SEVERE ] updating countdown to 59961
[14:34:59.692] [SEVERE ] updating countdown to 59961
[14:34:59.693] [SEVERE ] updating countdown to 59960
[14:34:59.693] [SEVERE ] updating countdown to 59960
[14:34:59.693] [SEVERE ] updating countdown to 59960
[14:34:59.693] [SEVERE ] updating countdown to 59960
[14:34:59.694] [SEVERE ] updating countdown to 59959
[14:34:59.694] [SEVERE ] updating countdown to 59959
[14:34:59.694] [SEVERE ] updating countdown to 59959
[14:34:59.694] [SEVERE ] updating countdown to 59959
[14:34:59.695] [SEVERE ] updating countdown to 59958
[14:34:59.695] [SEVERE ] updating countdown to 59958
[14:34:59.696] [SEVERE ] updating countdown to 59957
[14:34:59.697] [SEVERE ] updating countdown to 59956
[14:34:59.697] [SEVERE ] updating countdown to 59956
[14:34:59.698] [SEVERE ] updating countdown to 59955
[14:34:59.698] [SEVERE ] updating countdown to 59955
[14:34:59.698] [SEVERE ] updating countdown to 59955
[14:34:59.699] [SEVERE ] updating countdown to 59954
[14:34:59.699] [SEVERE ] updating countdown to 59954
[14:34:59.699] [SEVERE ] updating countdown to 59954
[14:34:59.699] [SEVERE ] updating countdown to 59954
[14:34:59.700] [SEVERE ] updating countdown to 59953
[14:34:59.700] [SEVERE ] updating countdown to 59953
[14:34:59.700] [SEVERE ] updating countdown to 59953
[14:34:59.700] [SEVERE ] updating countdown to 59953
[14:34:59.701] [SEVERE ] updating countdown to 59952
[14:34:59.701] [SEVERE ] updating countdown to 59952
[14:34:59.701] [SEVERE ] updating countdown to 59952
[14:34:59.702] [SEVERE ] updating countdown to 59951
[14:34:59.702] [SEVERE ] updating countdown to 59951
[14:34:59.702] [SEVERE ] updating countdown to 59951
[14:34:59.703] [SEVERE ] updating countdown to 59950
[14:34:59.703] [SEVERE ] updating countdown to 59950
[14:34:59.703] [SEVERE ] updating countdown to 59950
[14:34:59.704] [SEVERE ] updating countdown to 59949
[14:34:59.704] [SEVERE ] updating countdown to 59949
[14:34:59.704] [SEVERE ] updating countdown to 59949
[14:34:59.705] [SEVERE ] updating countdown to 59948
[14:34:59.706] [SEVERE ] updating countdown to 59947
[14:34:59.706] [SEVERE ] updating countdown to 59947
[14:34:59.706] [SEVERE ] updating countdown to 59947
