[14:51:17.374] [INFO   ] thread main starting.
[14:51:17.393] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:51:17.401] [SEVERE ] configuration file was loaded from resources directory.
[14:51:18.725] [INFO   ] thread dealer starting.
[14:51:18.731] [INFO   ] thread dealer starting.
[14:51:18.732] [SEVERE ] updating countdown to 60000
[14:51:18.736] [INFO   ] thread Player 0 starting.
[14:51:18.736] [INFO   ] thread Player 1 starting.
[14:51:18.845] [SEVERE ] placing card 0 in slot 11
[14:51:18.946] [SEVERE ] placing card 1 in slot 2
[14:51:19.047] [SEVERE ] placing card 2 in slot 3
[14:51:19.148] [SEVERE ] placing card 3 in slot 10
[14:51:19.249] [SEVERE ] placing card 4 in slot 8
[14:51:19.350] [SEVERE ] placing card 5 in slot 4
[14:51:19.451] [SEVERE ] placing card 6 in slot 6
[14:51:19.552] [SEVERE ] placing card 7 in slot 7
[14:51:19.652] [SEVERE ] placing card 8 in slot 9
[14:51:19.753] [SEVERE ] placing card 9 in slot 0
[14:51:19.854] [SEVERE ] placing card 10 in slot 1
[14:51:19.955] [SEVERE ] placing card 11 in slot 5
[14:51:19.956] [SEVERE ] updating countdown to 60000
[14:51:19.956] [SEVERE ] updating countdown to 60000
[14:51:19.957] [SEVERE ] updating countdown to 59999
[14:51:19.960] [SEVERE ] updating countdown to 59996
[14:51:19.962] [SEVERE ] updating countdown to 59994
[14:51:19.963] [SEVERE ] updating countdown to 59993
[14:51:19.964] [SEVERE ] updating countdown to 59992
[14:51:19.965] [SEVERE ] updating countdown to 59991
[14:51:19.967] [SEVERE ] updating countdown to 59989
[14:51:19.967] [SEVERE ] updating countdown to 59989
[14:51:19.968] [SEVERE ] updating countdown to 59988
[14:51:19.968] [SEVERE ] updating countdown to 59988
[14:51:19.969] [SEVERE ] updating countdown to 59987
[14:51:19.969] [SEVERE ] updating countdown to 59987
[14:51:19.969] [SEVERE ] updating countdown to 59987
[14:51:19.970] [SEVERE ] updating countdown to 59986
[14:51:19.970] [SEVERE ] updating countdown to 59986
[14:51:19.970] [SEVERE ] updating countdown to 59986
[14:51:19.971] [SEVERE ] updating countdown to 59985
[14:51:19.971] [SEVERE ] updating countdown to 59985
[14:51:19.971] [SEVERE ] updating countdown to 59985
[14:51:19.972] [SEVERE ] updating countdown to 59984
[14:51:19.972] [SEVERE ] updating countdown to 59984
[14:51:19.972] [SEVERE ] updating countdown to 59984
[14:51:19.973] [SEVERE ] updating countdown to 59983
[14:51:19.973] [SEVERE ] updating countdown to 59983
[14:51:19.974] [SEVERE ] updating countdown to 59982
[14:51:19.975] [SEVERE ] updating countdown to 59981
[14:51:19.975] [SEVERE ] updating countdown to 59981
[14:51:19.976] [SEVERE ] updating countdown to 59980
[14:51:19.976] [SEVERE ] updating countdown to 59980
[14:51:19.977] [SEVERE ] updating countdown to 59979
[14:51:19.977] [SEVERE ] updating countdown to 59979
[14:51:19.978] [SEVERE ] updating countdown to 59978
[14:51:19.978] [SEVERE ] updating countdown to 59978
[14:51:19.978] [SEVERE ] updating countdown to 59978
[14:51:19.979] [SEVERE ] updating countdown to 59977
[14:51:19.979] [SEVERE ] updating countdown to 59977
[14:51:19.979] [SEVERE ] updating countdown to 59977
[14:51:19.980] [SEVERE ] updating countdown to 59976
