[14:30:19.362] [INFO   ] thread main starting.
[14:30:19.378] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:30:19.384] [SEVERE ] configuration file was loaded from resources directory.
[14:30:20.702] [INFO   ] thread dealer starting.
[14:30:20.707] [INFO   ] thread dealer starting.
[14:30:20.709] [SEVERE ] updating countdown to 60000
[14:30:20.714] [INFO   ] thread Player 0 starting.
[14:30:20.714] [INFO   ] thread Player 1 starting.
[14:30:20.826] [SEVERE ] placing card 0 in slot 4
[14:30:20.927] [SEVERE ] placing card 1 in slot 5
[14:30:21.028] [SEVERE ] placing card 2 in slot 7
[14:30:21.129] [SEVERE ] placing card 3 in slot 8
[14:30:21.230] [SEVERE ] placing card 4 in slot 0
[14:30:21.331] [SEVERE ] placing card 5 in slot 6
[14:30:21.431] [SEVERE ] placing card 6 in slot 2
[14:30:21.532] [SEVERE ] placing card 7 in slot 1
[14:30:21.633] [SEVERE ] placing card 8 in slot 3
[14:30:21.734] [SEVERE ] placing card 9 in slot 11
[14:30:21.836] [SEVERE ] placing card 10 in slot 9
[14:30:21.937] [SEVERE ] placing card 11 in slot 10
[14:30:21.938] [SEVERE ] updating countdown to 60000
[14:30:21.939] [SEVERE ] updating countdown to 59999
[14:30:21.939] [SEVERE ] updating countdown to 59999
[14:30:21.940] [SEVERE ] updating countdown to 59998
[14:30:21.941] [SEVERE ] updating countdown to 59997
[14:30:21.942] [SEVERE ] updating countdown to 59996
[14:30:21.943] [SEVERE ] updating countdown to 59995
[14:30:21.944] [SEVERE ] updating countdown to 59994
[14:30:21.945] [SEVERE ] updating countdown to 59993
[14:30:21.945] [SEVERE ] updating countdown to 59993
[14:30:21.946] [SEVERE ] updating countdown to 59992
[14:30:21.947] [SEVERE ] updating countdown to 59991
[14:30:21.947] [SEVERE ] updating countdown to 59991
[14:30:21.948] [SEVERE ] updating countdown to 59990
[14:30:21.948] [SEVERE ] updating countdown to 59990
[14:30:21.949] [SEVERE ] updating countdown to 59989
[14:30:21.949] [SEVERE ] updating countdown to 59989
[14:30:21.949] [SEVERE ] updating countdown to 59989
[14:30:21.950] [SEVERE ] updating countdown to 59988
[14:30:21.950] [SEVERE ] updating countdown to 59988
[14:30:21.950] [SEVERE ] updating countdown to 59988
[14:30:21.951] [SEVERE ] updating countdown to 59987
[14:30:21.951] [SEVERE ] updating countdown to 59987
[14:30:21.951] [SEVERE ] updating countdown to 59987
[14:30:21.952] [SEVERE ] updating countdown to 59986
[14:30:21.954] [SEVERE ] updating countdown to 59984
[14:30:21.954] [SEVERE ] updating countdown to 59984
[14:30:21.955] [SEVERE ] updating countdown to 59983
[14:30:21.955] [SEVERE ] updating countdown to 59983
[14:30:21.956] [SEVERE ] updating countdown to 59982
[14:30:21.956] [SEVERE ] updating countdown to 59982
[14:30:21.957] [SEVERE ] updating countdown to 59981
[14:30:21.957] [SEVERE ] updating countdown to 59981
[14:30:21.957] [SEVERE ] updating countdown to 59981
[14:30:21.957] [SEVERE ] updating countdown to 59981
[14:30:21.958] [SEVERE ] updating countdown to 59980
[14:30:21.959] [SEVERE ] updating countdown to 59979
[14:30:21.959] [SEVERE ] updating countdown to 59979
[14:30:21.960] [SEVERE ] updating countdown to 59978
[14:30:21.960] [SEVERE ] updating countdown to 59978
[14:30:21.960] [SEVERE ] updating countdown to 59978
[14:30:21.960] [SEVERE ] updating countdown to 59978
[14:30:21.961] [SEVERE ] updating countdown to 59977
[14:30:21.961] [SEVERE ] updating countdown to 59977
[14:30:21.961] [SEVERE ] updating countdown to 59977
[14:30:21.961] [SEVERE ] updating countdown to 59977
[14:30:21.962] [SEVERE ] updating countdown to 59976
[14:30:21.962] [SEVERE ] updating countdown to 59976
[14:30:21.962] [SEVERE ] updating countdown to 59976
[14:30:21.962] [SEVERE ] updating countdown to 59976
[14:30:21.962] [SEVERE ] updating countdown to 59976
[14:30:21.963] [SEVERE ] updating countdown to 59975
[14:30:21.963] [SEVERE ] updating countdown to 59975
[14:30:21.963] [SEVERE ] updating countdown to 59975
[14:30:21.964] [SEVERE ] updating countdown to 59974
[14:30:21.964] [SEVERE ] updating countdown to 59974
[14:30:21.964] [SEVERE ] updating countdown to 59974
[14:30:21.965] [SEVERE ] updating countdown to 59973
[14:30:21.965] [SEVERE ] updating countdown to 59973
[14:30:21.965] [SEVERE ] updating countdown to 59973
[14:30:21.966] [SEVERE ] updating countdown to 59972
[14:30:21.966] [SEVERE ] updating countdown to 59972
[14:30:21.966] [SEVERE ] updating countdown to 59972
[14:30:21.966] [SEVERE ] updating countdown to 59972
[14:30:21.967] [SEVERE ] updating countdown to 59971
[14:30:21.967] [SEVERE ] updating countdown to 59971
[14:30:21.967] [SEVERE ] updating countdown to 59971
[14:30:21.968] [SEVERE ] updating countdown to 59970
[14:30:21.968] [SEVERE ] updating countdown to 59970
[14:30:21.968] [SEVERE ] updating countdown to 59970
[14:30:21.968] [SEVERE ] updating countdown to 59970
[14:30:21.969] [SEVERE ] updating countdown to 59969
[14:30:21.970] [SEVERE ] updating countdown to 59968
[14:30:21.971] [SEVERE ] updating countdown to 59967
[14:30:21.971] [SEVERE ] updating countdown to 59967
[14:30:21.971] [SEVERE ] updating countdown to 59967
[14:30:21.972] [SEVERE ] updating countdown to 59966
[14:30:21.972] [SEVERE ] updating countdown to 59966
[14:30:21.973] [SEVERE ] updating countdown to 59965
[14:30:21.973] [SEVERE ] updating countdown to 59965
[14:30:21.973] [SEVERE ] updating countdown to 59965
[14:30:21.974] [SEVERE ] updating countdown to 59964
[14:30:21.974] [SEVERE ] updating countdown to 59964
[14:30:21.974] [SEVERE ] updating countdown to 59964
[14:30:21.974] [SEVERE ] updating countdown to 59964
[14:30:21.975] [SEVERE ] updating countdown to 59963
[14:30:21.975] [SEVERE ] updating countdown to 59963
[14:30:21.976] [SEVERE ] updating countdown to 59962
[14:30:21.976] [SEVERE ] updating countdown to 59962
[14:30:21.977] [SEVERE ] updating countdown to 59961
[14:30:21.977] [SEVERE ] updating countdown to 59961
[14:30:21.977] [SEVERE ] updating countdown to 59961
[14:30:21.978] [SEVERE ] updating countdown to 59960
[14:30:21.978] [SEVERE ] updating countdown to 59960
[14:30:21.979] [SEVERE ] updating countdown to 59959
[14:30:21.979] [SEVERE ] updating countdown to 59959
[14:30:21.979] [SEVERE ] updating countdown to 59959
[14:30:21.979] [SEVERE ] updating countdown to 59959
[14:30:21.980] [SEVERE ] updating countdown to 59958
[14:30:21.980] [SEVERE ] updating countdown to 59958
[14:30:21.980] [SEVERE ] updating countdown to 59958
[14:30:21.980] [SEVERE ] updating countdown to 59958
[14:30:21.981] [SEVERE ] updating countdown to 59957
[14:30:21.981] [SEVERE ] updating countdown to 59957
[14:30:21.981] [SEVERE ] updating countdown to 59957
[14:30:21.981] [SEVERE ] updating countdown to 59957
[14:30:21.982] [SEVERE ] updating countdown to 59957
[14:30:21.982] [SEVERE ] updating countdown to 59956
[14:30:21.982] [SEVERE ] updating countdown to 59956
[14:30:21.982] [SEVERE ] updating countdown to 59956
[14:30:21.982] [SEVERE ] updating countdown to 59956
[14:30:21.983] [SEVERE ] updating countdown to 59955
[14:30:21.983] [SEVERE ] updating countdown to 59955
[14:30:21.983] [SEVERE ] updating countdown to 59955
[14:30:21.983] [SEVERE ] updating countdown to 59955
[14:30:21.983] [SEVERE ] updating countdown to 59955
[14:30:21.984] [SEVERE ] updating countdown to 59954
[14:30:21.984] [SEVERE ] updating countdown to 59954
[14:30:21.984] [SEVERE ] updating countdown to 59954
[14:30:21.984] [SEVERE ] updating countdown to 59954
[14:30:21.984] [SEVERE ] updating countdown to 59954
[14:30:21.985] [SEVERE ] updating countdown to 59953
[14:30:21.985] [SEVERE ] updating countdown to 59953
[14:30:21.986] [SEVERE ] updating countdown to 59952
[14:30:21.987] [SEVERE ] updating countdown to 59951
[14:30:21.987] [SEVERE ] updating countdown to 59951
[14:30:21.988] [SEVERE ] updating countdown to 59950
[14:30:21.988] [SEVERE ] updating countdown to 59950
[14:30:21.988] [SEVERE ] updating countdown to 59950
[14:30:21.989] [SEVERE ] updating countdown to 59949
[14:30:21.989] [SEVERE ] updating countdown to 59949
[14:30:21.989] [SEVERE ] updating countdown to 59949
[14:30:21.989] [SEVERE ] updating countdown to 59949
[14:30:21.990] [SEVERE ] updating countdown to 59948
[14:30:21.990] [SEVERE ] updating countdown to 59948
[14:30:21.990] [SEVERE ] updating countdown to 59948
[14:30:21.990] [SEVERE ] updating countdown to 59948
[14:30:21.991] [SEVERE ] updating countdown to 59947
[14:30:21.991] [SEVERE ] updating countdown to 59947
[14:30:21.991] [SEVERE ] updating countdown to 59947
[14:30:21.992] [SEVERE ] updating countdown to 59946
[14:30:21.992] [SEVERE ] updating countdown to 59946
[14:30:21.993] [SEVERE ] updating countdown to 59945
[14:30:21.993] [SEVERE ] updating countdown to 59945
[14:30:21.993] [SEVERE ] updating countdown to 59945
[14:30:21.993] [SEVERE ] updating countdown to 59945
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.994] [SEVERE ] updating countdown to 59944
[14:30:21.995] [SEVERE ] updating countdown to 59943
[14:30:21.995] [SEVERE ] updating countdown to 59943
[14:30:21.995] [SEVERE ] updating countdown to 59943
[14:30:21.995] [SEVERE ] updating countdown to 59943
[14:30:21.995] [SEVERE ] updating countdown to 59943
[14:30:21.996] [SEVERE ] updating countdown to 59943
[14:30:21.996] [SEVERE ] updating countdown to 59942
[14:30:21.996] [SEVERE ] updating countdown to 59942
[14:30:21.996] [SEVERE ] updating countdown to 59942
[14:30:21.996] [SEVERE ] updating countdown to 59942
