[13:28:03.451] [INFO   ] thread main starting.
[13:28:03.467] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:28:03.475] [SEVERE ] configuration file was loaded from resources directory.
[13:28:04.800] [INFO   ] thread dealer starting.
[13:28:04.802] [INFO   ] thread dealer starting.
[13:28:04.803] [SEVERE ] updating countdown to 60000
[13:28:04.805] [INFO   ] thread Player 0 starting.
[13:28:04.806] [INFO   ] thread Player 1 starting.
[13:28:04.919] [SEVERE ] placing card 0 in slot 8
[13:28:05.020] [SEVERE ] placing card 1 in slot 7
[13:28:05.120] [SEVERE ] placing card 2 in slot 4
[13:28:05.222] [SEVERE ] placing card 3 in slot 11
[13:28:05.322] [SEVERE ] placing card 4 in slot 9
[13:28:05.423] [SEVERE ] placing card 5 in slot 2
[13:28:05.525] [SEVERE ] placing card 6 in slot 10
[13:28:05.626] [SEVERE ] placing card 7 in slot 0
[13:28:05.727] [SEVERE ] placing card 8 in slot 6
[13:28:05.827] [SEVERE ] placing card 9 in slot 5
[13:28:05.929] [SEVERE ] placing card 10 in slot 1
[13:28:06.030] [SEVERE ] placing card 11 in slot 3
[13:28:06.031] [SEVERE ] updating countdown to 60000
[13:28:06.031] [SEVERE ] updating countdown to 60000
[13:28:06.032] [SEVERE ] updating countdown to 59999
[13:28:06.033] [SEVERE ] updating countdown to 59998
[13:28:06.034] [SEVERE ] updating countdown to 59997
[13:28:06.035] [SEVERE ] updating countdown to 59996
[13:28:06.035] [SEVERE ] updating countdown to 59996
[13:28:06.036] [SEVERE ] updating countdown to 59995
[13:28:06.038] [SEVERE ] updating countdown to 59993
[13:28:06.038] [SEVERE ] updating countdown to 59993
[13:28:06.039] [SEVERE ] updating countdown to 59992
[13:28:06.039] [SEVERE ] updating countdown to 59992
[13:28:06.040] [SEVERE ] updating countdown to 59991
[13:28:06.040] [SEVERE ] updating countdown to 59991
[13:28:06.041] [SEVERE ] updating countdown to 59990
[13:28:06.041] [SEVERE ] updating countdown to 59990
[13:28:06.042] [SEVERE ] updating countdown to 59989
[13:28:06.043] [SEVERE ] updating countdown to 59988
[13:28:06.044] [SEVERE ] updating countdown to 59987
[13:28:06.045] [SEVERE ] updating countdown to 59986
[13:28:06.046] [SEVERE ] updating countdown to 59985
[13:28:06.046] [SEVERE ] updating countdown to 59985
[13:28:06.047] [SEVERE ] updating countdown to 59984
[13:28:06.047] [SEVERE ] updating countdown to 59984
[13:28:06.048] [SEVERE ] updating countdown to 59983
[13:28:06.048] [SEVERE ] updating countdown to 59983
[13:28:06.048] [SEVERE ] updating countdown to 59983
[13:28:06.049] [SEVERE ] updating countdown to 59982
[13:28:06.049] [SEVERE ] updating countdown to 59982
[13:28:06.050] [SEVERE ] updating countdown to 59981
[13:28:06.050] [SEVERE ] updating countdown to 59981
[13:28:06.050] [SEVERE ] updating countdown to 59981
[13:28:06.051] [SEVERE ] updating countdown to 59980
[13:28:06.051] [SEVERE ] updating countdown to 59980
[13:28:06.051] [SEVERE ] updating countdown to 59980
[13:28:06.051] [SEVERE ] updating countdown to 59980
[13:28:06.052] [SEVERE ] updating countdown to 59979
[13:28:06.052] [SEVERE ] updating countdown to 59979
[13:28:06.052] [SEVERE ] updating countdown to 59979
[13:28:06.053] [SEVERE ] updating countdown to 59978
[13:28:06.053] [SEVERE ] updating countdown to 59978
[13:28:06.053] [SEVERE ] updating countdown to 59978
[13:28:06.054] [SEVERE ] updating countdown to 59977
[13:28:06.054] [SEVERE ] updating countdown to 59977
[13:28:06.054] [SEVERE ] updating countdown to 59977
[13:28:06.055] [SEVERE ] updating countdown to 59976
[13:28:06.055] [SEVERE ] updating countdown to 59976
[13:28:06.056] [SEVERE ] updating countdown to 59975
[13:28:06.056] [SEVERE ] updating countdown to 59975
[13:28:06.056] [SEVERE ] updating countdown to 59975
[13:28:06.057] [SEVERE ] updating countdown to 59974
[13:28:06.057] [SEVERE ] updating countdown to 59974
[13:28:06.058] [SEVERE ] updating countdown to 59973
[13:28:06.058] [SEVERE ] updating countdown to 59973
[13:28:06.058] [SEVERE ] updating countdown to 59973
[13:28:06.059] [SEVERE ] updating countdown to 59972
[13:28:06.059] [SEVERE ] updating countdown to 59972
[13:28:06.060] [SEVERE ] updating countdown to 59971
[13:28:06.061] [SEVERE ] updating countdown to 59970
[13:28:06.062] [SEVERE ] updating countdown to 59969
[13:28:06.063] [SEVERE ] updating countdown to 59968
[13:28:06.064] [SEVERE ] updating countdown to 59967
[13:28:06.065] [SEVERE ] updating countdown to 59966
[13:28:06.066] [SEVERE ] updating countdown to 59965
[13:28:06.066] [SEVERE ] updating countdown to 59965
[13:28:06.067] [SEVERE ] updating countdown to 59964
[13:28:06.067] [SEVERE ] updating countdown to 59964
[13:28:06.067] [SEVERE ] updating countdown to 59964
[13:28:06.068] [SEVERE ] updating countdown to 59963
[13:28:06.068] [SEVERE ] updating countdown to 59963
[13:28:06.068] [SEVERE ] updating countdown to 59963
[13:28:06.069] [SEVERE ] updating countdown to 59962
