[09:14:57.246] [INFO   ] thread main starting.
[09:14:57.262] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:14:57.270] [SEVERE ] configuration file was loaded from resources directory.
[09:14:58.646] [INFO   ] thread dealer starting.
[09:14:58.648] [INFO   ] thread dealer starting.
[09:14:58.650] [INFO   ] thread Player 0 starting.
[09:14:58.650] [INFO   ] thread Player 1 starting.
[09:14:58.763] [SEVERE ] placing card 0 in slot 5
[09:14:58.864] [SEVERE ] placing card 1 in slot 2
[09:14:58.965] [SEVERE ] placing card 2 in slot 6
[09:14:59.066] [SEVERE ] placing card 3 in slot 3
[09:14:59.167] [SEVERE ] placing card 4 in slot 10
[09:14:59.267] [SEVERE ] placing card 5 in slot 7
[09:14:59.368] [SEVERE ] placing card 6 in slot 4
[09:14:59.469] [SEVERE ] placing card 7 in slot 1
[09:14:59.570] [SEVERE ] placing card 8 in slot 11
[09:14:59.672] [SEVERE ] placing card 9 in slot 0
[09:14:59.773] [SEVERE ] placing card 10 in slot 8
[09:14:59.874] [SEVERE ] placing card 11 in slot 9
[09:14:59.876] [SEVERE ] updating countdown to 60000
[09:14:59.877] [SEVERE ] updating countdown to 59999
[09:14:59.878] [SEVERE ] updating countdown to 59998
[09:14:59.879] [SEVERE ] updating countdown to 59997
[09:14:59.880] [SEVERE ] updating countdown to 59997
[09:14:59.880] [SEVERE ] updating countdown to 59996
[09:14:59.881] [SEVERE ] updating countdown to 59995
[09:14:59.882] [SEVERE ] updating countdown to 59994
[09:14:59.882] [SEVERE ] updating countdown to 59994
[09:14:59.883] [SEVERE ] updating countdown to 59993
[09:14:59.884] [SEVERE ] updating countdown to 59992
[09:14:59.884] [SEVERE ] updating countdown to 59992
[09:14:59.885] [SEVERE ] updating countdown to 59991
[09:14:59.885] [SEVERE ] updating countdown to 59991
[09:14:59.885] [SEVERE ] updating countdown to 59991
[09:14:59.886] [SEVERE ] updating countdown to 59990
[09:14:59.887] [SEVERE ] updating countdown to 59989
[09:14:59.889] [SEVERE ] updating countdown to 59987
[09:14:59.890] [SEVERE ] updating countdown to 59986
[09:14:59.891] [SEVERE ] updating countdown to 59985
[09:14:59.892] [SEVERE ] updating countdown to 59984
[09:14:59.893] [SEVERE ] updating countdown to 59983
[09:14:59.893] [SEVERE ] updating countdown to 59983
[09:14:59.894] [SEVERE ] updating countdown to 59982
[09:14:59.894] [SEVERE ] updating countdown to 59982
[09:14:59.894] [SEVERE ] updating countdown to 59982
[09:14:59.895] [SEVERE ] updating countdown to 59981
[09:14:59.895] [SEVERE ] updating countdown to 59981
[09:14:59.895] [SEVERE ] updating countdown to 59981
[09:14:59.896] [SEVERE ] updating countdown to 59980
[09:14:59.896] [SEVERE ] updating countdown to 59980
[09:14:59.896] [SEVERE ] updating countdown to 59980
[09:14:59.897] [SEVERE ] updating countdown to 59979
[09:14:59.897] [SEVERE ] updating countdown to 59979
[09:14:59.898] [SEVERE ] updating countdown to 59978
[09:14:59.898] [SEVERE ] updating countdown to 59978
[09:14:59.899] [SEVERE ] updating countdown to 59977
[09:14:59.899] [SEVERE ] updating countdown to 59977
[09:14:59.899] [SEVERE ] updating countdown to 59977
[09:14:59.900] [SEVERE ] updating countdown to 59976
[09:14:59.900] [SEVERE ] updating countdown to 59976
[09:14:59.900] [SEVERE ] updating countdown to 59976
[09:14:59.901] [SEVERE ] updating countdown to 59975
[09:14:59.901] [SEVERE ] updating countdown to 59975
[09:14:59.901] [SEVERE ] updating countdown to 59975
[09:14:59.902] [SEVERE ] updating countdown to 59974
[09:14:59.902] [SEVERE ] updating countdown to 59974
[09:14:59.903] [SEVERE ] updating countdown to 59973
[09:14:59.904] [SEVERE ] updating countdown to 59972
[09:14:59.905] [SEVERE ] updating countdown to 59971
[09:14:59.905] [SEVERE ] updating countdown to 59971
[09:14:59.905] [SEVERE ] updating countdown to 59971
[09:14:59.906] [SEVERE ] updating countdown to 59970
[09:14:59.907] [SEVERE ] updating countdown to 59969
[09:14:59.907] [SEVERE ] updating countdown to 59969
[09:14:59.907] [SEVERE ] updating countdown to 59969
[09:14:59.908] [SEVERE ] updating countdown to 59968
[09:14:59.908] [SEVERE ] updating countdown to 59968
[09:14:59.909] [SEVERE ] updating countdown to 59967
[09:14:59.910] [SEVERE ] updating countdown to 59966
[09:14:59.911] [SEVERE ] updating countdown to 59965
[09:14:59.911] [SEVERE ] updating countdown to 59965
[09:14:59.912] [SEVERE ] updating countdown to 59964
[09:14:59.912] [SEVERE ] updating countdown to 59964
[09:14:59.913] [SEVERE ] updating countdown to 59963
[09:14:59.913] [SEVERE ] updating countdown to 59963
[09:14:59.914] [SEVERE ] updating countdown to 59962
[09:14:59.914] [SEVERE ] updating countdown to 59962
[09:14:59.914] [SEVERE ] updating countdown to 59962
[09:14:59.915] [SEVERE ] updating countdown to 59962
[09:14:59.915] [SEVERE ] updating countdown to 59961
[09:14:59.915] [SEVERE ] updating countdown to 59961
[09:14:59.915] [SEVERE ] updating countdown to 59961
[09:14:59.916] [SEVERE ] updating countdown to 59960
[09:14:59.916] [SEVERE ] updating countdown to 59960
[09:14:59.916] [SEVERE ] updating countdown to 59960
[09:14:59.917] [SEVERE ] updating countdown to 59959
[09:14:59.917] [SEVERE ] updating countdown to 59959
[09:14:59.917] [SEVERE ] updating countdown to 59959
[09:14:59.918] [SEVERE ] updating countdown to 59958
[09:14:59.918] [SEVERE ] updating countdown to 59958
[09:14:59.918] [SEVERE ] updating countdown to 59958
[09:14:59.919] [SEVERE ] updating countdown to 59957
[09:14:59.919] [SEVERE ] updating countdown to 59957
[09:14:59.919] [SEVERE ] updating countdown to 59957
[09:14:59.920] [SEVERE ] updating countdown to 59956
[09:14:59.920] [SEVERE ] updating countdown to 59956
[09:14:59.921] [SEVERE ] updating countdown to 59955
[09:14:59.922] [SEVERE ] updating countdown to 59954
[09:14:59.922] [SEVERE ] updating countdown to 59954
[09:14:59.923] [SEVERE ] updating countdown to 59953
[09:14:59.924] [SEVERE ] updating countdown to 59952
