[14:37:40.926] [INFO   ] thread main starting.
[14:37:40.942] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:37:40.953] [SEVERE ] configuration file was loaded from resources directory.
[14:37:42.255] [INFO   ] thread dealer starting.
[14:37:42.256] [INFO   ] thread dealer starting.
[14:37:42.257] [SEVERE ] updating countdown to 60000
[14:37:42.261] [INFO   ] thread Player 0 starting.
[14:37:42.261] [INFO   ] thread Player 1 starting.
[14:37:42.378] [SEVERE ] placing card 0 in slot 8
[14:37:42.479] [SEVERE ] placing card 1 in slot 11
[14:37:42.580] [SEVERE ] placing card 2 in slot 10
[14:37:42.681] [SEVERE ] placing card 3 in slot 0
[14:37:42.783] [SEVERE ] placing card 4 in slot 9
[14:37:42.885] [SEVERE ] placing card 5 in slot 5
[14:37:42.986] [SEVERE ] placing card 6 in slot 7
[14:37:43.087] [SEVERE ] placing card 7 in slot 2
[14:37:43.188] [SEVERE ] placing card 8 in slot 6
[14:37:43.289] [SEVERE ] placing card 9 in slot 1
[14:37:43.389] [SEVERE ] placing card 10 in slot 3
[14:37:43.490] [SEVERE ] placing card 11 in slot 4
[14:37:43.491] [SEVERE ] updating countdown to 60000
[14:37:43.491] [SEVERE ] updating countdown to 60000
[14:37:43.492] [SEVERE ] updating countdown to 59999
[14:37:43.493] [SEVERE ] updating countdown to 59998
[14:37:43.493] [SEVERE ] updating countdown to 59998
[14:37:43.494] [SEVERE ] updating countdown to 59997
[14:37:43.495] [SEVERE ] updating countdown to 59996
[14:37:43.495] [SEVERE ] updating countdown to 59996
[14:37:43.496] [SEVERE ] updating countdown to 59995
[14:37:43.496] [SEVERE ] updating countdown to 59995
[14:37:43.497] [SEVERE ] updating countdown to 59994
[14:37:43.499] [SEVERE ] updating countdown to 59992
[14:37:43.500] [SEVERE ] updating countdown to 59991
[14:37:43.502] [SEVERE ] updating countdown to 59989
[14:37:43.503] [SEVERE ] updating countdown to 59988
[14:37:43.503] [SEVERE ] updating countdown to 59988
[14:37:43.504] [SEVERE ] updating countdown to 59987
[14:37:43.504] [SEVERE ] updating countdown to 59987
[14:37:43.505] [SEVERE ] updating countdown to 59986
[14:37:43.505] [SEVERE ] updating countdown to 59986
[14:37:43.506] [SEVERE ] updating countdown to 59985
[14:37:43.506] [SEVERE ] updating countdown to 59985
[14:37:43.506] [SEVERE ] updating countdown to 59985
[14:37:43.507] [SEVERE ] updating countdown to 59984
[14:37:43.507] [SEVERE ] updating countdown to 59984
[14:37:43.507] [SEVERE ] updating countdown to 59984
[14:37:43.508] [SEVERE ] updating countdown to 59983
[14:37:43.508] [SEVERE ] updating countdown to 59983
[14:37:43.508] [SEVERE ] updating countdown to 59983
[14:37:43.509] [SEVERE ] updating countdown to 59982
[14:37:43.509] [SEVERE ] updating countdown to 59982
[14:37:43.509] [SEVERE ] updating countdown to 59982
[14:37:43.510] [SEVERE ] updating countdown to 59982
[14:37:43.510] [SEVERE ] updating countdown to 59981
[14:37:43.510] [SEVERE ] updating countdown to 59981
[14:37:43.510] [SEVERE ] updating countdown to 59981
[14:37:43.511] [SEVERE ] updating countdown to 59980
[14:37:43.511] [SEVERE ] updating countdown to 59980
[14:37:43.511] [SEVERE ] updating countdown to 59980
[14:37:43.511] [SEVERE ] updating countdown to 59980
[14:37:43.512] [SEVERE ] updating countdown to 59979
[14:37:43.512] [SEVERE ] updating countdown to 59979
[14:37:43.512] [SEVERE ] updating countdown to 59979
[14:37:43.513] [SEVERE ] updating countdown to 59978
[14:37:43.513] [SEVERE ] updating countdown to 59978
[14:37:43.514] [SEVERE ] updating countdown to 59977
[14:37:43.514] [SEVERE ] updating countdown to 59977
[14:37:43.515] [SEVERE ] updating countdown to 59976
[14:37:43.517] [SEVERE ] updating countdown to 59974
[14:37:43.517] [SEVERE ] updating countdown to 59974
[14:37:43.518] [SEVERE ] updating countdown to 59973
[14:37:43.518] [SEVERE ] updating countdown to 59973
[14:37:43.519] [SEVERE ] updating countdown to 59972
[14:37:43.519] [SEVERE ] updating countdown to 59972
[14:37:43.520] [SEVERE ] updating countdown to 59971
[14:37:43.520] [SEVERE ] updating countdown to 59971
[14:37:43.520] [SEVERE ] updating countdown to 59971
