[10:58:40.553] [INFO   ] thread main starting.
[10:58:40.569] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:58:40.578] [SEVERE ] configuration file was loaded from resources directory.
[10:58:41.898] [INFO   ] thread dealer starting.
[10:58:41.900] [INFO   ] thread dealer starting.
[10:58:41.901] [SEVERE ] updating countdown to 60000
[10:58:41.907] [INFO   ] thread Player 0 starting.
[10:58:41.910] [INFO   ] thread Player 1 starting.
[10:58:42.022] [SEVERE ] placing card 0 in slot 8
[10:58:42.123] [SEVERE ] placing card 1 in slot 7
[10:58:42.223] [SEVERE ] placing card 2 in slot 2
[10:58:42.325] [SEVERE ] placing card 3 in slot 5
[10:58:42.426] [SEVERE ] placing card 4 in slot 4
[10:58:42.527] [SEVERE ] placing card 5 in slot 11
[10:58:42.628] [SEVERE ] placing card 6 in slot 3
[10:58:42.729] [SEVERE ] placing card 7 in slot 0
[10:58:42.830] [SEVERE ] placing card 8 in slot 9
[10:58:42.931] [SEVERE ] placing card 9 in slot 6
[10:58:43.033] [SEVERE ] placing card 10 in slot 1
[10:58:43.134] [SEVERE ] placing card 11 in slot 10
[10:58:43.134] [SEVERE ] updating countdown to 60000
[10:58:43.135] [SEVERE ] updating countdown to 59999
[10:58:43.136] [SEVERE ] updating countdown to 59998
[10:58:43.136] [SEVERE ] updating countdown to 59998
[10:58:43.137] [SEVERE ] updating countdown to 59997
[10:58:43.138] [SEVERE ] updating countdown to 59996
[10:58:43.138] [SEVERE ] updating countdown to 59996
[10:58:43.139] [SEVERE ] updating countdown to 59995
[10:58:43.140] [SEVERE ] updating countdown to 59994
[10:58:43.140] [SEVERE ] updating countdown to 59994
[10:58:43.141] [SEVERE ] updating countdown to 59993
[10:58:43.142] [SEVERE ] updating countdown to 59992
[10:58:43.144] [SEVERE ] updating countdown to 59990
[10:58:43.144] [SEVERE ] updating countdown to 59990
[10:58:43.145] [SEVERE ] updating countdown to 59989
[10:58:43.145] [SEVERE ] updating countdown to 59989
