[13:39:00.364] [INFO   ] thread main starting.
[13:39:00.381] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:39:00.390] [SEVERE ] configuration file was loaded from resources directory.
[13:39:01.710] [INFO   ] thread dealer starting.
[13:39:01.712] [INFO   ] thread dealer starting.
[13:39:01.712] [SEVERE ] updating countdown to 60000
[13:39:01.715] [INFO   ] thread Player 0 starting.
[13:39:01.715] [INFO   ] thread Player 1 starting.
[13:39:01.830] [SEVERE ] placing card 0 in slot 2
[13:39:01.931] [SEVERE ] placing card 1 in slot 9
[13:39:02.032] [SEVERE ] placing card 2 in slot 4
[13:39:02.133] [SEVERE ] placing card 3 in slot 1
[13:39:02.234] [SEVERE ] placing card 4 in slot 7
[13:39:02.335] [SEVERE ] placing card 5 in slot 10
[13:39:02.436] [SEVERE ] placing card 6 in slot 11
[13:39:02.537] [SEVERE ] placing card 7 in slot 8
[13:39:02.638] [SEVERE ] placing card 8 in slot 5
[13:39:02.739] [SEVERE ] placing card 9 in slot 3
[13:39:02.840] [SEVERE ] placing card 10 in slot 6
[13:39:02.940] [SEVERE ] placing card 11 in slot 0
[13:39:02.941] [SEVERE ] updating countdown to 60000
[13:39:02.941] [SEVERE ] updating countdown to 60000
[13:39:02.942] [SEVERE ] updating countdown to 59999
[13:39:02.943] [SEVERE ] updating countdown to 59998
[13:39:02.944] [SEVERE ] updating countdown to 59997
[13:39:02.945] [SEVERE ] updating countdown to 59996
[13:39:02.946] [SEVERE ] updating countdown to 59995
[13:39:02.946] [SEVERE ] updating countdown to 59995
[13:39:02.947] [SEVERE ] updating countdown to 59994
[13:39:02.949] [SEVERE ] updating countdown to 59992
[13:39:02.951] [SEVERE ] updating countdown to 59990
[13:39:02.953] [SEVERE ] updating countdown to 59988
[13:39:02.954] [SEVERE ] updating countdown to 59987
[13:39:02.955] [SEVERE ] updating countdown to 59986
[13:39:02.955] [SEVERE ] updating countdown to 59986
[13:39:02.956] [SEVERE ] updating countdown to 59985
[13:39:02.956] [SEVERE ] updating countdown to 59985
[13:39:02.957] [SEVERE ] updating countdown to 59984
[13:39:02.957] [SEVERE ] updating countdown to 59984
[13:39:02.958] [SEVERE ] updating countdown to 59983
[13:39:02.958] [SEVERE ] updating countdown to 59983
[13:39:02.959] [SEVERE ] updating countdown to 59982
[13:39:02.959] [SEVERE ] updating countdown to 59982
[13:39:02.959] [SEVERE ] updating countdown to 59982
[13:39:02.960] [SEVERE ] updating countdown to 59981
[13:39:02.960] [SEVERE ] updating countdown to 59981
[13:39:02.961] [SEVERE ] updating countdown to 59980
[13:39:02.961] [SEVERE ] updating countdown to 59980
[13:39:02.961] [SEVERE ] updating countdown to 59980
[13:39:02.962] [SEVERE ] updating countdown to 59979
[13:39:02.963] [SEVERE ] updating countdown to 59978
[13:39:02.963] [SEVERE ] updating countdown to 59978
[13:39:02.964] [SEVERE ] updating countdown to 59977
[13:39:02.964] [SEVERE ] updating countdown to 59977
[13:39:02.964] [SEVERE ] updating countdown to 59977
[13:39:02.965] [SEVERE ] updating countdown to 59976
[13:39:02.966] [SEVERE ] updating countdown to 59975
[13:39:02.968] [SEVERE ] updating countdown to 59973
[13:39:02.969] [SEVERE ] updating countdown to 59972
[13:39:02.969] [SEVERE ] updating countdown to 59972
[13:39:02.970] [SEVERE ] updating countdown to 59971
[13:39:02.970] [SEVERE ] updating countdown to 59971
[13:39:02.971] [SEVERE ] updating countdown to 59970
[13:39:02.971] [SEVERE ] updating countdown to 59970
[13:39:02.972] [SEVERE ] updating countdown to 59969
[13:39:02.972] [SEVERE ] updating countdown to 59969
[13:39:02.972] [SEVERE ] updating countdown to 59969
[13:39:02.972] [SEVERE ] updating countdown to 59969
[13:39:02.973] [SEVERE ] updating countdown to 59968
[13:39:02.973] [SEVERE ] updating countdown to 59968
[13:39:02.973] [SEVERE ] updating countdown to 59968
[13:39:02.974] [SEVERE ] updating countdown to 59967
[13:39:02.974] [SEVERE ] updating countdown to 59967
[13:39:02.974] [SEVERE ] updating countdown to 59967
[13:39:02.975] [SEVERE ] updating countdown to 59966
[13:39:02.975] [SEVERE ] updating countdown to 59966
[13:39:02.976] [SEVERE ] updating countdown to 59965
[13:39:02.976] [SEVERE ] updating countdown to 59965
[13:39:02.976] [SEVERE ] updating countdown to 59965
[13:39:02.976] [SEVERE ] updating countdown to 59965
[13:39:02.977] [SEVERE ] updating countdown to 59964
[13:39:02.977] [SEVERE ] updating countdown to 59964
[13:39:02.977] [SEVERE ] updating countdown to 59964
[13:39:02.978] [SEVERE ] updating countdown to 59963
[13:39:02.978] [SEVERE ] updating countdown to 59963
[13:39:02.978] [SEVERE ] updating countdown to 59963
[13:39:02.979] [SEVERE ] updating countdown to 59962
