[14:58:39.134] [INFO   ] thread main starting.
[14:58:39.152] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:58:39.159] [SEVERE ] configuration file was loaded from resources directory.
[14:58:40.463] [INFO   ] thread dealer starting.
[14:58:40.465] [INFO   ] thread dealer starting.
[14:58:40.466] [SEVERE ] updating countdown to 60000
[14:58:40.470] [INFO   ] thread Player 0 starting.
[14:58:40.470] [INFO   ] thread Player 1 starting.
[14:58:40.587] [SEVERE ] placing card 0 in slot 8
[14:58:40.688] [SEVERE ] placing card 1 in slot 5
[14:58:40.790] [SEVERE ] placing card 2 in slot 0
[14:58:40.891] [SEVERE ] placing card 3 in slot 10
[14:58:40.992] [SEVERE ] placing card 4 in slot 9
[14:58:41.093] [SEVERE ] placing card 5 in slot 1
[14:58:41.195] [SEVERE ] placing card 6 in slot 7
[14:58:41.296] [SEVERE ] placing card 7 in slot 11
[14:58:41.397] [SEVERE ] placing card 8 in slot 3
[14:58:41.498] [SEVERE ] placing card 9 in slot 4
[14:58:41.598] [SEVERE ] placing card 10 in slot 2
[14:58:41.699] [SEVERE ] placing card 11 in slot 6
[14:58:41.700] [SEVERE ] updating countdown to 60000
[14:58:41.701] [SEVERE ] updating countdown to 59999
[14:58:41.701] [SEVERE ] updating countdown to 59999
[14:58:41.702] [SEVERE ] updating countdown to 59998
[14:58:41.702] [SEVERE ] updating countdown to 59998
[14:58:41.703] [SEVERE ] updating countdown to 59997
[14:58:41.704] [SEVERE ] updating countdown to 59996
[14:58:41.704] [SEVERE ] updating countdown to 59996
[14:58:41.705] [SEVERE ] updating countdown to 59995
[14:58:41.706] [SEVERE ] updating countdown to 59994
[14:58:41.707] [SEVERE ] updating countdown to 59993
[14:58:41.709] [SEVERE ] updating countdown to 59991
[14:58:41.710] [SEVERE ] updating countdown to 59990
[14:58:41.711] [SEVERE ] updating countdown to 59989
[14:58:41.712] [SEVERE ] updating countdown to 59988
[14:58:41.713] [SEVERE ] updating countdown to 59987
[14:58:41.713] [SEVERE ] updating countdown to 59987
[14:58:41.714] [SEVERE ] updating countdown to 59986
[14:58:41.714] [SEVERE ] updating countdown to 59986
[14:58:41.715] [SEVERE ] updating countdown to 59985
[14:58:41.715] [SEVERE ] updating countdown to 59985
[14:58:41.716] [SEVERE ] updating countdown to 59984
[14:58:41.716] [SEVERE ] updating countdown to 59984
[14:58:41.716] [SEVERE ] updating countdown to 59984
[14:58:41.717] [SEVERE ] updating countdown to 59983
[14:58:41.717] [SEVERE ] updating countdown to 59983
[14:58:41.717] [SEVERE ] updating countdown to 59983
[14:58:41.718] [SEVERE ] updating countdown to 59982
[14:58:41.718] [SEVERE ] updating countdown to 59982
[14:58:41.719] [SEVERE ] updating countdown to 59981
[14:58:41.719] [SEVERE ] updating countdown to 59981
[14:58:41.719] [SEVERE ] updating countdown to 59981
[14:58:41.720] [SEVERE ] updating countdown to 59980
[14:58:41.720] [SEVERE ] updating countdown to 59980
[14:58:41.720] [SEVERE ] updating countdown to 59980
[14:58:41.720] [SEVERE ] updating countdown to 59980
[14:58:41.721] [SEVERE ] updating countdown to 59979
[14:58:41.721] [SEVERE ] updating countdown to 59979
[14:58:41.721] [SEVERE ] updating countdown to 59979
[14:58:41.722] [SEVERE ] updating countdown to 59978
[14:58:41.722] [SEVERE ] updating countdown to 59978
[14:58:41.722] [SEVERE ] updating countdown to 59978
[14:58:41.722] [SEVERE ] updating countdown to 59978
[14:58:41.723] [SEVERE ] updating countdown to 59977
[14:58:41.723] [SEVERE ] updating countdown to 59977
[14:58:41.723] [SEVERE ] updating countdown to 59977
[14:58:41.723] [SEVERE ] updating countdown to 59977
[14:58:41.724] [SEVERE ] updating countdown to 59976
[14:58:41.724] [SEVERE ] updating countdown to 59976
[14:58:41.725] [SEVERE ] updating countdown to 59975
[14:58:41.725] [SEVERE ] updating countdown to 59975
[14:58:41.726] [SEVERE ] updating countdown to 59975
[14:58:41.726] [SEVERE ] updating countdown to 59974
[14:58:41.727] [SEVERE ] updating countdown to 59973
[14:58:41.728] [SEVERE ] updating countdown to 59972
[14:58:41.729] [SEVERE ] updating countdown to 59971
[14:58:41.730] [SEVERE ] updating countdown to 59970
[14:58:41.730] [SEVERE ] updating countdown to 59970
[14:58:41.730] [SEVERE ] updating countdown to 59970
[14:58:41.731] [SEVERE ] updating countdown to 59969
[14:58:41.731] [SEVERE ] updating countdown to 59969
[14:58:41.732] [SEVERE ] updating countdown to 59968
[14:58:41.732] [SEVERE ] updating countdown to 59968
[14:58:41.732] [SEVERE ] updating countdown to 59968
[14:58:41.733] [SEVERE ] updating countdown to 59967
[14:58:41.733] [SEVERE ] updating countdown to 59967
[14:58:41.734] [SEVERE ] updating countdown to 59966
[14:58:41.734] [SEVERE ] updating countdown to 59966
[14:58:41.734] [SEVERE ] updating countdown to 59966
[14:58:41.735] [SEVERE ] updating countdown to 59965
[14:58:41.735] [SEVERE ] updating countdown to 59965
[14:58:41.735] [SEVERE ] updating countdown to 59965
[14:58:41.735] [SEVERE ] updating countdown to 59965
[14:58:41.736] [SEVERE ] updating countdown to 59964
[14:58:41.736] [SEVERE ] updating countdown to 59964
[14:58:41.736] [SEVERE ] updating countdown to 59964
[14:58:41.737] [SEVERE ] updating countdown to 59963
[14:58:41.737] [SEVERE ] updating countdown to 59963
[14:58:41.737] [SEVERE ] updating countdown to 59963
[14:58:41.738] [SEVERE ] updating countdown to 59962
[14:58:41.738] [SEVERE ] updating countdown to 59962
[14:58:41.738] [SEVERE ] updating countdown to 59962
[14:58:41.739] [SEVERE ] updating countdown to 59961
[14:58:41.739] [SEVERE ] updating countdown to 59961
[14:58:41.739] [SEVERE ] updating countdown to 59961
[14:58:41.740] [SEVERE ] updating countdown to 59960
