[09:16:25.700] [INFO   ] thread main starting.
[09:16:25.719] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:16:25.727] [SEVERE ] configuration file was loaded from resources directory.
[09:16:27.058] [INFO   ] thread dealer starting.
[09:16:27.059] [INFO   ] thread dealer starting.
[09:16:27.060] [SEVERE ] updating countdown to 60000
[09:16:27.066] [INFO   ] thread Player 0 starting.
[09:16:27.066] [INFO   ] thread Player 1 starting.
[09:16:27.178] [SEVERE ] placing card 0 in slot 6
[09:16:27.280] [SEVERE ] placing card 1 in slot 0
[09:16:27.382] [SEVERE ] placing card 2 in slot 1
[09:16:27.483] [SEVERE ] placing card 3 in slot 7
[09:16:27.584] [SEVERE ] placing card 4 in slot 4
[09:16:27.685] [SEVERE ] placing card 5 in slot 2
[09:16:27.785] [SEVERE ] placing card 6 in slot 3
[09:16:27.886] [SEVERE ] placing card 7 in slot 10
[09:16:27.987] [SEVERE ] placing card 8 in slot 11
[09:16:28.088] [SEVERE ] placing card 9 in slot 9
[09:16:28.189] [SEVERE ] placing card 10 in slot 5
[09:16:28.290] [SEVERE ] placing card 11 in slot 8
[09:16:28.290] [SEVERE ] updating countdown to 60000
[09:16:28.291] [SEVERE ] updating countdown to 59999
[09:16:28.292] [SEVERE ] updating countdown to 59998
[09:16:28.309] [SEVERE ] updating countdown to 59981
[09:16:28.310] [SEVERE ] updating countdown to 59980
[09:16:28.310] [SEVERE ] updating countdown to 59980
[09:16:28.313] [SEVERE ] updating countdown to 59977
[09:16:28.315] [SEVERE ] updating countdown to 59975
[09:16:28.316] [SEVERE ] updating countdown to 59974
[09:16:28.317] [SEVERE ] updating countdown to 59973
[09:16:28.318] [SEVERE ] updating countdown to 59972
[09:16:28.319] [SEVERE ] updating countdown to 59971
[09:16:28.319] [SEVERE ] updating countdown to 59971
[09:16:28.320] [SEVERE ] updating countdown to 59970
[09:16:28.320] [SEVERE ] updating countdown to 59970
[09:16:28.320] [SEVERE ] updating countdown to 59970
[09:16:28.321] [SEVERE ] updating countdown to 59969
[09:16:28.321] [SEVERE ] updating countdown to 59969
[09:16:28.322] [SEVERE ] updating countdown to 59968
[09:16:28.322] [SEVERE ] updating countdown to 59968
[09:16:28.322] [SEVERE ] updating countdown to 59968
[09:16:28.323] [SEVERE ] updating countdown to 59967
[09:16:28.323] [SEVERE ] updating countdown to 59967
[09:16:28.323] [SEVERE ] updating countdown to 59967
[09:16:28.324] [SEVERE ] updating countdown to 59966
[09:16:28.324] [SEVERE ] updating countdown to 59966
[09:16:28.325] [SEVERE ] updating countdown to 59965
[09:16:28.325] [SEVERE ] updating countdown to 59965
[09:16:28.325] [SEVERE ] updating countdown to 59965
[09:16:28.326] [SEVERE ] updating countdown to 59964
[09:16:28.326] [SEVERE ] updating countdown to 59964
[09:16:28.327] [SEVERE ] updating countdown to 59963
[09:16:28.328] [SEVERE ] updating countdown to 59962
[09:16:28.330] [SEVERE ] updating countdown to 59960
[09:16:28.331] [SEVERE ] updating countdown to 59959
[09:16:28.332] [SEVERE ] updating countdown to 59958
[09:16:28.333] [SEVERE ] updating countdown to 59957
[09:16:28.333] [SEVERE ] updating countdown to 59957
[09:16:28.334] [SEVERE ] updating countdown to 59956
[09:16:28.334] [SEVERE ] updating countdown to 59956
[09:16:28.334] [SEVERE ] updating countdown to 59956
[09:16:28.335] [SEVERE ] updating countdown to 59955
[09:16:28.335] [SEVERE ] updating countdown to 59955
[09:16:28.335] [SEVERE ] updating countdown to 59955
[09:16:28.336] [SEVERE ] updating countdown to 59954
[09:16:28.336] [SEVERE ] updating countdown to 59954
[09:16:28.336] [SEVERE ] updating countdown to 59954
[09:16:28.337] [SEVERE ] updating countdown to 59953
[09:16:28.337] [SEVERE ] updating countdown to 59953
[09:16:28.337] [SEVERE ] updating countdown to 59953
[09:16:28.338] [SEVERE ] updating countdown to 59952
[09:16:28.338] [SEVERE ] updating countdown to 59952
[09:16:28.339] [SEVERE ] updating countdown to 59951
[09:16:28.339] [SEVERE ] updating countdown to 59951
[09:16:28.339] [SEVERE ] updating countdown to 59951
[09:16:28.340] [SEVERE ] updating countdown to 59950
[09:16:28.340] [SEVERE ] updating countdown to 59950
[09:16:28.340] [SEVERE ] updating countdown to 59950
[09:16:28.341] [SEVERE ] updating countdown to 59949
[09:16:28.341] [SEVERE ] updating countdown to 59949
[09:16:28.341] [SEVERE ] updating countdown to 59949
[09:16:28.342] [SEVERE ] updating countdown to 59948
[09:16:28.342] [SEVERE ] updating countdown to 59948
[09:16:28.342] [SEVERE ] updating countdown to 59948
[09:16:28.343] [SEVERE ] updating countdown to 59947
[09:16:28.343] [SEVERE ] updating countdown to 59947
