[14:09:29.380] [INFO   ] thread main starting.
[14:09:29.397] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:09:29.404] [SEVERE ] configuration file was loaded from resources directory.
[14:09:30.762] [INFO   ] thread dealer starting.
[14:09:30.765] [INFO   ] thread dealer starting.
[14:09:30.766] [SEVERE ] updating countdown to 60000
[14:09:30.769] [INFO   ] thread Player 0 starting.
[14:09:30.769] [INFO   ] thread Player 1 starting.
[14:09:30.890] [SEVERE ] placing card 0 in slot 10
[14:09:30.991] [SEVERE ] placing card 1 in slot 3
[14:09:31.092] [SEVERE ] placing card 2 in slot 7
[14:09:31.193] [SEVERE ] placing card 3 in slot 6
[14:09:31.294] [SEVERE ] placing card 4 in slot 1
[14:09:31.395] [SEVERE ] placing card 5 in slot 2
[14:09:31.496] [SEVERE ] placing card 6 in slot 0
[14:09:31.598] [SEVERE ] placing card 7 in slot 4
[14:09:31.699] [SEVERE ] placing card 8 in slot 11
[14:09:31.800] [SEVERE ] placing card 9 in slot 5
[14:09:31.901] [SEVERE ] placing card 10 in slot 8
[14:09:32.001] [SEVERE ] placing card 11 in slot 9
[14:09:32.002] [SEVERE ] updating countdown to 60000
[14:09:32.003] [SEVERE ] updating countdown to 59999
[14:09:32.005] [SEVERE ] updating countdown to 59997
[14:09:32.007] [SEVERE ] updating countdown to 59995
[14:09:32.008] [SEVERE ] updating countdown to 59994
[14:09:32.010] [SEVERE ] updating countdown to 59992
[14:09:32.011] [SEVERE ] updating countdown to 59991
[14:09:32.013] [SEVERE ] updating countdown to 59989
[14:09:32.014] [SEVERE ] updating countdown to 59988
[14:09:32.014] [SEVERE ] updating countdown to 59988
[14:09:32.015] [SEVERE ] updating countdown to 59987
[14:09:32.015] [SEVERE ] updating countdown to 59987
[14:09:32.016] [SEVERE ] updating countdown to 59986
[14:09:32.017] [SEVERE ] updating countdown to 59986
[14:09:32.017] [SEVERE ] updating countdown to 59985
[14:09:32.017] [SEVERE ] updating countdown to 59985
[14:09:32.018] [SEVERE ] updating countdown to 59984
[14:09:32.018] [SEVERE ] updating countdown to 59984
