[10:56:05.224] [INFO   ] thread main starting.
[10:56:05.241] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:56:05.248] [SEVERE ] configuration file was loaded from resources directory.
[10:56:06.581] [INFO   ] thread dealer starting.
[10:56:06.581] [INFO   ] thread dealer starting.
[10:56:06.582] [SEVERE ] updating countdown to 60000
[10:56:06.583] [INFO   ] thread Player 0 starting.
[10:56:06.583] [INFO   ] thread Player 1 starting.
[10:56:06.695] [SEVERE ] placing card 0 in slot 5
[10:56:06.795] [SEVERE ] placing card 1 in slot 3
[10:56:06.896] [SEVERE ] placing card 2 in slot 2
[10:56:06.997] [SEVERE ] placing card 3 in slot 1
[10:56:07.098] [SEVERE ] placing card 4 in slot 10
[10:56:07.199] [SEVERE ] placing card 5 in slot 7
[10:56:07.300] [SEVERE ] placing card 6 in slot 6
[10:56:07.401] [SEVERE ] placing card 7 in slot 8
[10:56:07.502] [SEVERE ] placing card 8 in slot 4
[10:56:07.604] [SEVERE ] placing card 9 in slot 11
[10:56:07.705] [SEVERE ] placing card 10 in slot 9
[10:56:07.806] [SEVERE ] placing card 11 in slot 0
[10:56:07.807] [SEVERE ] updating countdown to 60000
[10:56:07.808] [SEVERE ] updating countdown to 59999
[10:56:07.808] [SEVERE ] updating countdown to 59999
[10:56:07.809] [SEVERE ] updating countdown to 59998
[10:56:07.810] [SEVERE ] updating countdown to 59997
[10:56:07.811] [SEVERE ] updating countdown to 59996
[10:56:07.812] [SEVERE ] updating countdown to 59995
[10:56:07.812] [SEVERE ] updating countdown to 59995
[10:56:07.813] [SEVERE ] updating countdown to 59994
[10:56:07.814] [SEVERE ] updating countdown to 59993
[10:56:07.814] [SEVERE ] updating countdown to 59993
[10:56:07.815] [SEVERE ] updating countdown to 59992
[10:56:07.816] [SEVERE ] updating countdown to 59991
[10:56:07.816] [SEVERE ] updating countdown to 59991
[10:56:07.817] [SEVERE ] updating countdown to 59990
[10:56:07.817] [SEVERE ] updating countdown to 59990
[10:56:07.818] [SEVERE ] updating countdown to 59989
[10:56:07.820] [SEVERE ] updating countdown to 59987
[10:56:07.821] [SEVERE ] updating countdown to 59986
[10:56:07.822] [SEVERE ] updating countdown to 59985
[10:56:07.831] [SEVERE ] updating countdown to 59976
[10:56:07.832] [SEVERE ] updating countdown to 59975
[10:56:07.832] [SEVERE ] updating countdown to 59975
[10:56:07.833] [SEVERE ] updating countdown to 59974
[10:56:07.833] [SEVERE ] updating countdown to 59974
[10:56:07.833] [SEVERE ] updating countdown to 59974
[10:56:07.834] [SEVERE ] updating countdown to 59973
[10:56:07.834] [SEVERE ] updating countdown to 59973
[10:56:07.834] [SEVERE ] updating countdown to 59973
[10:56:07.836] [SEVERE ] updating countdown to 59971
[10:56:07.837] [SEVERE ] updating countdown to 59970
[10:56:07.837] [SEVERE ] updating countdown to 59970
[10:56:07.838] [SEVERE ] updating countdown to 59969
[10:56:07.839] [SEVERE ] updating countdown to 59968
[10:56:07.839] [SEVERE ] updating countdown to 59968
[10:56:07.840] [SEVERE ] updating countdown to 59967
[10:56:07.840] [SEVERE ] updating countdown to 59967
[10:56:07.841] [SEVERE ] updating countdown to 59966
[10:56:07.841] [SEVERE ] updating countdown to 59966
[10:56:07.842] [SEVERE ] updating countdown to 59965
[10:56:07.843] [SEVERE ] updating countdown to 59964
[10:56:07.844] [SEVERE ] updating countdown to 59963
[10:56:07.844] [SEVERE ] updating countdown to 59963
[10:56:07.844] [SEVERE ] updating countdown to 59963
[10:56:07.845] [SEVERE ] updating countdown to 59962
[10:56:07.845] [SEVERE ] updating countdown to 59962
[10:56:07.846] [SEVERE ] updating countdown to 59961
[10:56:07.846] [SEVERE ] updating countdown to 59961
[10:56:07.846] [SEVERE ] updating countdown to 59961
[10:56:07.847] [SEVERE ] updating countdown to 59960
[10:56:07.847] [SEVERE ] updating countdown to 59960
[10:56:07.848] [SEVERE ] updating countdown to 59959
[10:56:07.848] [SEVERE ] updating countdown to 59959
[10:56:07.848] [SEVERE ] updating countdown to 59959
[10:56:07.849] [SEVERE ] updating countdown to 59958
[10:56:07.849] [SEVERE ] updating countdown to 59958
[10:56:07.849] [SEVERE ] updating countdown to 59958
[10:56:07.850] [SEVERE ] updating countdown to 59957
[10:56:07.850] [SEVERE ] updating countdown to 59957
[10:56:07.850] [SEVERE ] updating countdown to 59957
[10:56:07.851] [SEVERE ] updating countdown to 59956
[10:56:07.852] [SEVERE ] updating countdown to 59955
[10:56:07.854] [SEVERE ] updating countdown to 59953
[10:56:07.855] [SEVERE ] updating countdown to 59952
[10:56:07.856] [SEVERE ] updating countdown to 59951
[10:56:07.857] [SEVERE ] updating countdown to 59950
[10:56:07.857] [SEVERE ] updating countdown to 59950
[10:56:07.858] [SEVERE ] updating countdown to 59949
[10:56:07.858] [SEVERE ] updating countdown to 59949
[10:56:07.858] [SEVERE ] updating countdown to 59949
[10:56:07.859] [SEVERE ] updating countdown to 59948
[10:56:07.859] [SEVERE ] updating countdown to 59948
[10:56:07.859] [SEVERE ] updating countdown to 59948
[10:56:07.859] [SEVERE ] updating countdown to 59948
[10:56:07.860] [SEVERE ] updating countdown to 59947
[10:56:07.860] [SEVERE ] updating countdown to 59947
[10:56:07.860] [SEVERE ] updating countdown to 59947
[10:56:07.861] [SEVERE ] updating countdown to 59946
[10:56:07.861] [SEVERE ] updating countdown to 59946
[10:56:07.861] [SEVERE ] updating countdown to 59946
[10:56:07.861] [SEVERE ] updating countdown to 59946
[10:56:07.862] [SEVERE ] updating countdown to 59945
[10:56:07.862] [SEVERE ] updating countdown to 59945
[10:56:07.862] [SEVERE ] updating countdown to 59945
[10:56:07.863] [SEVERE ] updating countdown to 59944
[10:56:07.863] [SEVERE ] updating countdown to 59944
[10:56:07.863] [SEVERE ] updating countdown to 59944
[10:56:07.863] [SEVERE ] updating countdown to 59944
[10:56:07.864] [SEVERE ] updating countdown to 59943
[10:56:07.864] [SEVERE ] updating countdown to 59943
[10:56:07.864] [SEVERE ] updating countdown to 59943
[10:56:07.865] [SEVERE ] updating countdown to 59942
[10:56:07.865] [SEVERE ] updating countdown to 59942
[10:56:07.865] [SEVERE ] updating countdown to 59942
[10:56:07.865] [SEVERE ] updating countdown to 59942
[10:56:07.866] [SEVERE ] updating countdown to 59941
[10:56:07.866] [SEVERE ] updating countdown to 59941
[10:56:07.866] [SEVERE ] updating countdown to 59941
[10:56:07.867] [SEVERE ] updating countdown to 59940
[10:56:07.867] [SEVERE ] updating countdown to 59940
[10:56:07.867] [SEVERE ] updating countdown to 59940
[10:56:07.868] [SEVERE ] updating countdown to 59939
[10:56:07.868] [SEVERE ] updating countdown to 59939
[10:56:07.869] [SEVERE ] updating countdown to 59938
[10:56:07.870] [SEVERE ] updating countdown to 59937
[10:56:07.871] [SEVERE ] updating countdown to 59936
[10:56:07.871] [SEVERE ] updating countdown to 59936
[10:56:07.872] [SEVERE ] updating countdown to 59935
[10:56:07.872] [SEVERE ] updating countdown to 59935
[10:56:07.872] [SEVERE ] updating countdown to 59935
[10:56:07.873] [SEVERE ] updating countdown to 59934
[10:56:07.873] [SEVERE ] updating countdown to 59934
[10:56:07.874] [SEVERE ] updating countdown to 59933
[10:56:07.874] [SEVERE ] updating countdown to 59933
[10:56:07.875] [SEVERE ] updating countdown to 59932
[10:56:07.876] [SEVERE ] updating countdown to 59931
[10:56:07.876] [SEVERE ] updating countdown to 59931
[10:56:07.876] [SEVERE ] updating countdown to 59931
[10:56:07.877] [SEVERE ] updating countdown to 59930
[10:56:07.877] [SEVERE ] updating countdown to 59930
[10:56:07.877] [SEVERE ] updating countdown to 59930
[10:56:07.878] [SEVERE ] updating countdown to 59929
[10:56:07.878] [SEVERE ] updating countdown to 59929
[10:56:07.878] [SEVERE ] updating countdown to 59929
[10:56:07.879] [SEVERE ] updating countdown to 59928
[10:56:07.879] [SEVERE ] updating countdown to 59928
[10:56:07.879] [SEVERE ] updating countdown to 59928
[10:56:07.880] [SEVERE ] updating countdown to 59927
[10:56:07.880] [SEVERE ] updating countdown to 59927
[10:56:07.880] [SEVERE ] updating countdown to 59927
[10:56:07.881] [SEVERE ] updating countdown to 59926
[10:56:07.881] [SEVERE ] updating countdown to 59926
[10:56:07.881] [SEVERE ] updating countdown to 59926
[10:56:07.881] [SEVERE ] updating countdown to 59926
[10:56:07.882] [SEVERE ] updating countdown to 59925
[10:56:07.882] [SEVERE ] updating countdown to 59925
[10:56:07.882] [SEVERE ] updating countdown to 59925
[10:56:07.882] [SEVERE ] updating countdown to 59925
[10:56:07.883] [SEVERE ] updating countdown to 59924
[10:56:07.883] [SEVERE ] updating countdown to 59924
