[11:40:44.104] [INFO   ] thread main starting.
[11:40:44.120] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:40:44.128] [SEVERE ] configuration file was loaded from resources directory.
[11:40:45.432] [INFO   ] thread dealer starting.
[11:40:45.435] [INFO   ] thread dealer starting.
[11:40:45.437] [SEVERE ] updating countdown to 60000
[11:40:45.439] [INFO   ] thread Player 0 starting.
[11:40:45.439] [INFO   ] thread Player 1 starting.
[11:40:45.547] [SEVERE ] placing card 0 in slot 0
[11:40:45.649] [SEVERE ] placing card 1 in slot 2
[11:40:45.751] [SEVERE ] placing card 2 in slot 6
[11:40:45.852] [SEVERE ] placing card 3 in slot 11
[11:40:45.952] [SEVERE ] placing card 4 in slot 4
[11:40:46.053] [SEVERE ] placing card 5 in slot 5
[11:40:46.154] [SEVERE ] placing card 6 in slot 9
[11:40:46.255] [SEVERE ] placing card 7 in slot 1
[11:40:46.356] [SEVERE ] placing card 8 in slot 7
[11:40:46.457] [SEVERE ] placing card 9 in slot 10
[11:40:46.558] [SEVERE ] placing card 10 in slot 8
[11:40:46.659] [SEVERE ] placing card 11 in slot 3
[11:40:46.659] [SEVERE ] updating countdown to 60000
[11:40:46.660] [SEVERE ] updating countdown to 59999
[11:40:46.661] [SEVERE ] updating countdown to 59998
[11:40:46.661] [SEVERE ] updating countdown to 59998
[11:40:46.662] [SEVERE ] updating countdown to 59997
[11:40:46.664] [SEVERE ] updating countdown to 59995
[11:40:46.667] [SEVERE ] updating countdown to 59992
[11:40:46.668] [SEVERE ] updating countdown to 59991
[11:40:46.669] [SEVERE ] updating countdown to 59990
[11:40:46.670] [SEVERE ] updating countdown to 59989
[11:40:46.670] [SEVERE ] updating countdown to 59989
[11:40:46.671] [SEVERE ] updating countdown to 59988
[11:40:46.671] [SEVERE ] updating countdown to 59988
[11:40:46.672] [SEVERE ] updating countdown to 59987
[11:40:46.672] [SEVERE ] updating countdown to 59987
[11:40:46.673] [SEVERE ] updating countdown to 59986
[11:40:46.673] [SEVERE ] updating countdown to 59986
[11:40:46.673] [SEVERE ] updating countdown to 59986
[11:40:46.674] [SEVERE ] updating countdown to 59985
[11:40:46.674] [SEVERE ] updating countdown to 59985
[11:40:46.675] [SEVERE ] updating countdown to 59985
[11:40:46.675] [SEVERE ] updating countdown to 59984
[11:40:46.675] [SEVERE ] updating countdown to 59984
[11:40:46.676] [SEVERE ] updating countdown to 59983
[11:40:46.676] [SEVERE ] updating countdown to 59983
[11:40:46.676] [SEVERE ] updating countdown to 59983
[11:40:46.677] [SEVERE ] updating countdown to 59982
[11:40:46.677] [SEVERE ] updating countdown to 59982
[11:40:46.678] [SEVERE ] updating countdown to 59981
[11:40:46.678] [SEVERE ] updating countdown to 59981
[11:40:46.679] [SEVERE ] updating countdown to 59980
[11:40:46.681] [SEVERE ] updating countdown to 59978
[11:40:46.683] [SEVERE ] updating countdown to 59976
[11:40:46.684] [SEVERE ] updating countdown to 59975
[11:40:46.685] [SEVERE ] updating countdown to 59974
[11:40:46.685] [SEVERE ] updating countdown to 59974
[11:40:46.685] [SEVERE ] updating countdown to 59974
[11:40:46.686] [SEVERE ] updating countdown to 59973
[11:40:46.686] [SEVERE ] updating countdown to 59973
[11:40:46.686] [SEVERE ] updating countdown to 59973
[11:40:46.687] [SEVERE ] updating countdown to 59972
[11:40:46.687] [SEVERE ] updating countdown to 59972
[11:40:46.687] [SEVERE ] updating countdown to 59972
[11:40:46.688] [SEVERE ] updating countdown to 59971
[11:40:46.688] [SEVERE ] updating countdown to 59971
[11:40:46.688] [SEVERE ] updating countdown to 59971
[11:40:46.689] [SEVERE ] updating countdown to 59970
[11:40:46.689] [SEVERE ] updating countdown to 59970
[11:40:46.690] [SEVERE ] updating countdown to 59969
[11:40:46.690] [SEVERE ] updating countdown to 59969
[11:40:46.690] [SEVERE ] updating countdown to 59969
[11:40:46.691] [SEVERE ] updating countdown to 59968
[11:40:46.691] [SEVERE ] updating countdown to 59968
[11:40:46.691] [SEVERE ] updating countdown to 59968
[11:40:46.692] [SEVERE ] updating countdown to 59967
[11:40:46.692] [SEVERE ] updating countdown to 59967
[11:40:46.692] [SEVERE ] updating countdown to 59967
[11:40:46.693] [SEVERE ] updating countdown to 59966
[11:40:46.693] [SEVERE ] updating countdown to 59966
[11:40:46.694] [SEVERE ] updating countdown to 59965
[11:40:46.694] [SEVERE ] updating countdown to 59965
[11:40:46.694] [SEVERE ] updating countdown to 59965
[11:40:46.695] [SEVERE ] updating countdown to 59964
[11:40:46.695] [SEVERE ] updating countdown to 59964
[11:40:46.696] [SEVERE ] updating countdown to 59963
[11:40:46.698] [SEVERE ] updating countdown to 59961
[11:40:46.699] [SEVERE ] updating countdown to 59960
[11:40:46.699] [SEVERE ] updating countdown to 59960
[11:40:46.700] [SEVERE ] updating countdown to 59959
[11:40:46.700] [SEVERE ] updating countdown to 59959
[11:40:46.701] [SEVERE ] updating countdown to 59958
[11:40:46.701] [SEVERE ] updating countdown to 59958
[11:40:46.702] [SEVERE ] updating countdown to 59957
[11:40:46.703] [SEVERE ] updating countdown to 59956
[11:40:46.703] [SEVERE ] updating countdown to 59956
[11:40:46.704] [SEVERE ] updating countdown to 59955
