[13:29:38.607] [INFO   ] thread main starting.
[13:29:38.623] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:29:38.630] [SEVERE ] configuration file was loaded from resources directory.
[13:29:39.977] [INFO   ] thread dealer starting.
[13:29:39.978] [INFO   ] thread dealer starting.
[13:29:39.979] [SEVERE ] updating countdown to 60000
[13:29:39.982] [INFO   ] thread Player 0 starting.
[13:29:39.982] [INFO   ] thread Player 1 starting.
[13:29:40.099] [SEVERE ] placing card 0 in slot 4
[13:29:40.200] [SEVERE ] placing card 1 in slot 8
[13:29:40.302] [SEVERE ] placing card 2 in slot 11
[13:29:40.404] [SEVERE ] placing card 3 in slot 1
[13:29:40.505] [SEVERE ] placing card 4 in slot 9
[13:29:40.606] [SEVERE ] placing card 5 in slot 6
[13:29:40.707] [SEVERE ] placing card 6 in slot 2
[13:29:40.808] [SEVERE ] placing card 7 in slot 5
[13:29:40.908] [SEVERE ] placing card 8 in slot 3
[13:29:41.009] [SEVERE ] placing card 9 in slot 10
[13:29:41.110] [SEVERE ] placing card 10 in slot 7
[13:29:41.211] [SEVERE ] placing card 11 in slot 0
[13:29:41.211] [SEVERE ] updating countdown to 60000
[13:29:41.212] [SEVERE ] updating countdown to 59999
[13:29:41.213] [SEVERE ] updating countdown to 59998
[13:29:41.213] [SEVERE ] updating countdown to 59998
[13:29:41.215] [SEVERE ] updating countdown to 59996
[13:29:41.217] [SEVERE ] updating countdown to 59994
[13:29:41.219] [SEVERE ] updating countdown to 59992
[13:29:41.221] [SEVERE ] updating countdown to 59991
[13:29:41.222] [SEVERE ] updating countdown to 59989
[13:29:41.222] [SEVERE ] updating countdown to 59989
[13:29:41.223] [SEVERE ] updating countdown to 59988
[13:29:41.224] [SEVERE ] updating countdown to 59987
[13:29:41.225] [SEVERE ] updating countdown to 59986
[13:29:41.226] [SEVERE ] updating countdown to 59985
[13:29:41.227] [SEVERE ] updating countdown to 59984
[13:29:41.228] [SEVERE ] updating countdown to 59983
[13:29:41.228] [SEVERE ] updating countdown to 59983
[13:29:41.228] [SEVERE ] updating countdown to 59983
[13:29:41.229] [SEVERE ] updating countdown to 59982
[13:29:41.229] [SEVERE ] updating countdown to 59982
[13:29:41.229] [SEVERE ] updating countdown to 59982
[13:29:41.230] [SEVERE ] updating countdown to 59981
[13:29:41.230] [SEVERE ] updating countdown to 59981
[13:29:41.231] [SEVERE ] updating countdown to 59980
[13:29:41.231] [SEVERE ] updating countdown to 59980
[13:29:41.231] [SEVERE ] updating countdown to 59980
[13:29:41.232] [SEVERE ] updating countdown to 59979
[13:29:41.232] [SEVERE ] updating countdown to 59979
[13:29:41.232] [SEVERE ] updating countdown to 59979
[13:29:41.233] [SEVERE ] updating countdown to 59978
[13:29:41.234] [SEVERE ] updating countdown to 59977
[13:29:41.235] [SEVERE ] updating countdown to 59976
[13:29:41.235] [SEVERE ] updating countdown to 59976
[13:29:41.236] [SEVERE ] updating countdown to 59975
[13:29:41.236] [SEVERE ] updating countdown to 59975
[13:29:41.237] [SEVERE ] updating countdown to 59974
[13:29:41.237] [SEVERE ] updating countdown to 59974
[13:29:41.238] [SEVERE ] updating countdown to 59973
[13:29:41.238] [SEVERE ] updating countdown to 59973
[13:29:41.239] [SEVERE ] updating countdown to 59972
[13:29:41.240] [SEVERE ] updating countdown to 59971
[13:29:41.241] [SEVERE ] updating countdown to 59970
[13:29:41.241] [SEVERE ] updating countdown to 59970
[13:29:41.241] [SEVERE ] updating countdown to 59970
[13:29:41.242] [SEVERE ] updating countdown to 59969
[13:29:41.242] [SEVERE ] updating countdown to 59969
[13:29:41.242] [SEVERE ] updating countdown to 59969
[13:29:41.243] [SEVERE ] updating countdown to 59968
[13:29:41.243] [SEVERE ] updating countdown to 59968
[13:29:41.243] [SEVERE ] updating countdown to 59968
[13:29:41.244] [SEVERE ] updating countdown to 59968
[13:29:41.244] [SEVERE ] updating countdown to 59967
[13:29:41.244] [SEVERE ] updating countdown to 59967
[13:29:41.245] [SEVERE ] updating countdown to 59966
[13:29:41.245] [SEVERE ] updating countdown to 59966
[13:29:41.245] [SEVERE ] updating countdown to 59966
[13:29:41.246] [SEVERE ] updating countdown to 59965
[13:29:41.246] [SEVERE ] updating countdown to 59965
[13:29:41.246] [SEVERE ] updating countdown to 59965
[13:29:41.246] [SEVERE ] updating countdown to 59965
[13:29:41.247] [SEVERE ] updating countdown to 59964
[13:29:41.247] [SEVERE ] updating countdown to 59964
[13:29:41.247] [SEVERE ] updating countdown to 59964
[13:29:41.248] [SEVERE ] updating countdown to 59963
[13:29:41.248] [SEVERE ] updating countdown to 59963
[13:29:41.248] [SEVERE ] updating countdown to 59963
[13:29:41.249] [SEVERE ] updating countdown to 59962
[13:29:41.249] [SEVERE ] updating countdown to 59962
[13:29:41.250] [SEVERE ] updating countdown to 59961
[13:29:41.251] [SEVERE ] updating countdown to 59960
[13:29:41.252] [SEVERE ] updating countdown to 59959
[13:29:41.252] [SEVERE ] updating countdown to 59959
[13:29:41.253] [SEVERE ] updating countdown to 59958
[13:29:41.253] [SEVERE ] updating countdown to 59958
[13:29:41.254] [SEVERE ] updating countdown to 59957
[13:29:41.254] [SEVERE ] updating countdown to 59957
[13:29:41.255] [SEVERE ] updating countdown to 59956
[13:29:41.256] [SEVERE ] updating countdown to 59955
[13:29:41.256] [SEVERE ] updating countdown to 59955
[13:29:41.256] [SEVERE ] updating countdown to 59955
[13:29:41.257] [SEVERE ] updating countdown to 59954
[13:29:41.257] [SEVERE ] updating countdown to 59954
[13:29:41.257] [SEVERE ] updating countdown to 59954
[13:29:41.257] [SEVERE ] updating countdown to 59954
[13:29:41.258] [SEVERE ] updating countdown to 59953
[13:29:41.258] [SEVERE ] updating countdown to 59953
[13:29:41.258] [SEVERE ] updating countdown to 59953
[13:29:41.259] [SEVERE ] updating countdown to 59952
[13:29:41.259] [SEVERE ] updating countdown to 59952
[13:29:41.259] [SEVERE ] updating countdown to 59952
[13:29:41.259] [SEVERE ] updating countdown to 59952
[13:29:41.260] [SEVERE ] updating countdown to 59951
[13:29:41.260] [SEVERE ] updating countdown to 59951
[13:29:41.260] [SEVERE ] updating countdown to 59951
[13:29:41.261] [SEVERE ] updating countdown to 59950
[13:29:41.261] [SEVERE ] updating countdown to 59950
[13:29:41.261] [SEVERE ] updating countdown to 59950
[13:29:41.261] [SEVERE ] updating countdown to 59950
[13:29:41.262] [SEVERE ] updating countdown to 59949
[13:29:41.262] [SEVERE ] updating countdown to 59949
[13:29:41.263] [SEVERE ] updating countdown to 59948
[13:29:41.263] [SEVERE ] updating countdown to 59948
[13:29:41.263] [SEVERE ] updating countdown to 59948
[13:29:41.264] [SEVERE ] updating countdown to 59947
[13:29:41.264] [SEVERE ] updating countdown to 59947
[13:29:41.264] [SEVERE ] updating countdown to 59947
[13:29:41.264] [SEVERE ] updating countdown to 59947
[13:29:41.265] [SEVERE ] updating countdown to 59946
[13:29:41.265] [SEVERE ] updating countdown to 59946
[13:29:41.265] [SEVERE ] updating countdown to 59946
[13:29:41.266] [SEVERE ] updating countdown to 59945
[13:29:41.266] [SEVERE ] updating countdown to 59945
[13:29:41.267] [SEVERE ] updating countdown to 59944
[13:29:41.268] [SEVERE ] updating countdown to 59943
[13:29:41.269] [SEVERE ] updating countdown to 59943
[13:29:41.269] [SEVERE ] updating countdown to 59942
[13:29:41.269] [SEVERE ] updating countdown to 59942
[13:29:41.270] [SEVERE ] updating countdown to 59941
[13:29:41.271] [SEVERE ] updating countdown to 59940
[13:29:41.271] [SEVERE ] updating countdown to 59940
[13:29:41.272] [SEVERE ] updating countdown to 59939
[13:29:41.272] [SEVERE ] updating countdown to 59939
[13:29:41.272] [SEVERE ] updating countdown to 59939
[13:29:41.273] [SEVERE ] updating countdown to 59938
[13:29:41.273] [SEVERE ] updating countdown to 59938
[13:29:41.273] [SEVERE ] updating countdown to 59938
[13:29:41.274] [SEVERE ] updating countdown to 59937
[13:29:41.274] [SEVERE ] updating countdown to 59937
[13:29:41.274] [SEVERE ] updating countdown to 59937
[13:29:41.275] [SEVERE ] updating countdown to 59936
[13:29:41.275] [SEVERE ] updating countdown to 59936
[13:29:41.275] [SEVERE ] updating countdown to 59936
[13:29:41.275] [SEVERE ] updating countdown to 59936
[13:29:41.276] [SEVERE ] updating countdown to 59935
[13:29:41.276] [SEVERE ] updating countdown to 59935
[13:29:41.276] [SEVERE ] updating countdown to 59935
[13:29:41.277] [SEVERE ] updating countdown to 59934
[13:29:41.277] [SEVERE ] updating countdown to 59934
[13:29:41.277] [SEVERE ] updating countdown to 59934
[13:29:41.277] [SEVERE ] updating countdown to 59934
[13:29:41.278] [SEVERE ] updating countdown to 59933
[13:29:41.278] [SEVERE ] updating countdown to 59933
[13:29:41.278] [SEVERE ] updating countdown to 59933
[13:29:41.279] [SEVERE ] updating countdown to 59932
[13:29:41.279] [SEVERE ] updating countdown to 59932
[13:29:41.279] [SEVERE ] updating countdown to 59932
[13:29:41.279] [SEVERE ] updating countdown to 59932
[13:29:41.280] [SEVERE ] updating countdown to 59931
[13:29:41.280] [SEVERE ] updating countdown to 59931
[13:29:41.280] [SEVERE ] updating countdown to 59931
[13:29:41.280] [SEVERE ] updating countdown to 59931
[13:29:41.281] [SEVERE ] updating countdown to 59930
[13:29:41.281] [SEVERE ] updating countdown to 59930
[13:29:41.281] [SEVERE ] updating countdown to 59930
[13:29:41.282] [SEVERE ] updating countdown to 59929
[13:29:41.283] [SEVERE ] updating countdown to 59928
[13:29:41.284] [SEVERE ] updating countdown to 59927
[13:29:41.284] [SEVERE ] updating countdown to 59927
[13:29:41.285] [SEVERE ] updating countdown to 59926
[13:29:41.285] [SEVERE ] updating countdown to 59926
[13:29:41.285] [SEVERE ] updating countdown to 59926
[13:29:41.286] [SEVERE ] updating countdown to 59925
[13:29:41.286] [SEVERE ] updating countdown to 59925
[13:29:41.286] [SEVERE ] updating countdown to 59925
[13:29:41.287] [SEVERE ] updating countdown to 59924
[13:29:41.287] [SEVERE ] updating countdown to 59924
[13:29:41.288] [SEVERE ] updating countdown to 59923
[13:29:41.288] [SEVERE ] updating countdown to 59923
[13:29:41.289] [SEVERE ] updating countdown to 59922
[13:29:41.289] [SEVERE ] updating countdown to 59922
[13:29:41.289] [SEVERE ] updating countdown to 59922
[13:29:41.289] [SEVERE ] updating countdown to 59922
[13:29:41.290] [SEVERE ] updating countdown to 59921
[13:29:41.290] [SEVERE ] updating countdown to 59921
[13:29:41.290] [SEVERE ] updating countdown to 59921
[13:29:41.290] [SEVERE ] updating countdown to 59921
[13:29:41.291] [SEVERE ] updating countdown to 59920
[13:29:41.291] [SEVERE ] updating countdown to 59920
[13:29:41.291] [SEVERE ] updating countdown to 59920
[13:29:41.291] [SEVERE ] updating countdown to 59920
[13:29:41.292] [SEVERE ] updating countdown to 59919
[13:29:41.292] [SEVERE ] updating countdown to 59919
[13:29:41.292] [SEVERE ] updating countdown to 59919
[13:29:41.292] [SEVERE ] updating countdown to 59919
[13:29:41.292] [SEVERE ] updating countdown to 59919
[13:29:41.293] [SEVERE ] updating countdown to 59918
[13:29:41.293] [SEVERE ] updating countdown to 59918
[13:29:41.293] [SEVERE ] updating countdown to 59918
[13:29:41.294] [SEVERE ] updating countdown to 59917
[13:29:41.294] [SEVERE ] updating countdown to 59917
[13:29:41.294] [SEVERE ] updating countdown to 59917
[13:29:41.295] [SEVERE ] updating countdown to 59917
[13:29:41.295] [SEVERE ] updating countdown to 59916
[13:29:41.295] [SEVERE ] updating countdown to 59916
[13:29:41.295] [SEVERE ] updating countdown to 59916
