[14:38:02.274] [INFO   ] thread main starting.
[14:38:02.291] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:38:02.299] [SEVERE ] configuration file was loaded from resources directory.
[14:38:03.679] [INFO   ] thread dealer starting.
[14:38:03.680] [INFO   ] thread dealer starting.
[14:38:03.682] [SEVERE ] updating countdown to 60000
[14:38:03.687] [INFO   ] thread Player 0 starting.
[14:38:03.687] [INFO   ] thread Player 1 starting.
[14:38:03.805] [SEVERE ] placing card 0 in slot 7
[14:38:03.906] [SEVERE ] placing card 1 in slot 3
[14:38:04.007] [SEVERE ] placing card 2 in slot 5
[14:38:04.108] [SEVERE ] placing card 3 in slot 0
[14:38:04.209] [SEVERE ] placing card 4 in slot 8
[14:38:04.309] [SEVERE ] placing card 5 in slot 6
[14:38:04.411] [SEVERE ] placing card 6 in slot 1
[14:38:04.512] [SEVERE ] placing card 7 in slot 11
[14:38:04.612] [SEVERE ] placing card 8 in slot 4
[14:38:04.713] [SEVERE ] placing card 9 in slot 9
[14:38:04.814] [SEVERE ] placing card 10 in slot 2
[14:38:04.915] [SEVERE ] placing card 11 in slot 10
[14:38:04.916] [SEVERE ] updating countdown to 60000
[14:38:04.917] [SEVERE ] updating countdown to 59999
[14:38:04.919] [SEVERE ] updating countdown to 59998
[14:38:04.919] [SEVERE ] updating countdown to 59997
[14:38:04.920] [SEVERE ] updating countdown to 59996
[14:38:04.921] [SEVERE ] updating countdown to 59995
[14:38:04.922] [SEVERE ] updating countdown to 59994
[14:38:04.924] [SEVERE ] updating countdown to 59993
[14:38:04.925] [SEVERE ] updating countdown to 59991
[14:38:04.925] [SEVERE ] updating countdown to 59991
[14:38:04.926] [SEVERE ] updating countdown to 59990
[14:38:04.926] [SEVERE ] updating countdown to 59990
[14:38:04.927] [SEVERE ] updating countdown to 59989
[14:38:04.927] [SEVERE ] updating countdown to 59989
[14:38:04.928] [SEVERE ] updating countdown to 59988
[14:38:04.928] [SEVERE ] updating countdown to 59988
[14:38:04.928] [SEVERE ] updating countdown to 59988
[14:38:04.929] [SEVERE ] updating countdown to 59987
[14:38:04.929] [SEVERE ] updating countdown to 59987
[14:38:04.930] [SEVERE ] updating countdown to 59986
[14:38:04.930] [SEVERE ] updating countdown to 59986
[14:38:04.930] [SEVERE ] updating countdown to 59986
[14:38:04.944] [SEVERE ] updating countdown to 59972
[14:38:04.945] [SEVERE ] updating countdown to 59971
[14:38:04.945] [SEVERE ] updating countdown to 59971
[14:38:04.946] [SEVERE ] updating countdown to 59970
[14:38:04.946] [SEVERE ] updating countdown to 59970
[14:38:04.947] [SEVERE ] updating countdown to 59969
[14:38:04.947] [SEVERE ] updating countdown to 59969
[14:38:04.948] [SEVERE ] updating countdown to 59968
[14:38:04.948] [SEVERE ] updating countdown to 59968
[14:38:04.949] [SEVERE ] updating countdown to 59967
[14:38:04.950] [SEVERE ] updating countdown to 59966
[14:38:04.951] [SEVERE ] updating countdown to 59965
[14:38:04.952] [SEVERE ] updating countdown to 59964
[14:38:04.953] [SEVERE ] updating countdown to 59963
[14:38:04.953] [SEVERE ] updating countdown to 59963
[14:38:04.954] [SEVERE ] updating countdown to 59962
[14:38:04.954] [SEVERE ] updating countdown to 59962
[14:38:04.955] [SEVERE ] updating countdown to 59961
[14:38:04.955] [SEVERE ] updating countdown to 59961
[14:38:04.956] [SEVERE ] updating countdown to 59960
[14:38:04.957] [SEVERE ] updating countdown to 59959
[14:38:04.959] [SEVERE ] updating countdown to 59957
[14:38:04.960] [SEVERE ] updating countdown to 59956
[14:38:04.960] [SEVERE ] updating countdown to 59956
[14:38:04.961] [SEVERE ] updating countdown to 59955
[14:38:04.961] [SEVERE ] updating countdown to 59955
[14:38:04.961] [SEVERE ] updating countdown to 59955
[14:38:04.962] [SEVERE ] updating countdown to 59954
[14:38:04.962] [SEVERE ] updating countdown to 59954
[14:38:04.963] [SEVERE ] updating countdown to 59953
[14:38:04.963] [SEVERE ] updating countdown to 59953
[14:38:04.963] [SEVERE ] updating countdown to 59953
[14:38:04.964] [SEVERE ] updating countdown to 59952
[14:38:04.964] [SEVERE ] updating countdown to 59952
[14:38:04.964] [SEVERE ] updating countdown to 59952
[14:38:04.965] [SEVERE ] updating countdown to 59951
[14:38:04.965] [SEVERE ] updating countdown to 59951
[14:38:04.966] [SEVERE ] updating countdown to 59950
[14:38:04.966] [SEVERE ] updating countdown to 59950
[14:38:04.967] [SEVERE ] updating countdown to 59949
[14:38:04.968] [SEVERE ] updating countdown to 59948
[14:38:04.969] [SEVERE ] updating countdown to 59947
[14:38:04.969] [SEVERE ] updating countdown to 59947
[14:38:04.969] [SEVERE ] updating countdown to 59947
[14:38:04.970] [SEVERE ] updating countdown to 59946
[14:38:04.970] [SEVERE ] updating countdown to 59946
[14:38:04.971] [SEVERE ] updating countdown to 59945
[14:38:04.971] [SEVERE ] updating countdown to 59945
[14:38:04.972] [SEVERE ] updating countdown to 59944
[14:38:04.972] [SEVERE ] updating countdown to 59944
[14:38:04.973] [SEVERE ] updating countdown to 59943
[14:38:04.974] [SEVERE ] updating countdown to 59942
[14:38:04.975] [SEVERE ] updating countdown to 59941
[14:38:04.975] [SEVERE ] updating countdown to 59941
[14:38:04.976] [SEVERE ] updating countdown to 59940
[14:38:04.976] [SEVERE ] updating countdown to 59940
[14:38:04.976] [SEVERE ] updating countdown to 59940
[14:38:04.977] [SEVERE ] updating countdown to 59939
[14:38:04.977] [SEVERE ] updating countdown to 59939
[14:38:04.977] [SEVERE ] updating countdown to 59939
[14:38:04.978] [SEVERE ] updating countdown to 59938
[14:38:04.978] [SEVERE ] updating countdown to 59938
[14:38:04.978] [SEVERE ] updating countdown to 59938
[14:38:04.979] [SEVERE ] updating countdown to 59937
[14:38:04.979] [SEVERE ] updating countdown to 59937
[14:38:04.979] [SEVERE ] updating countdown to 59937
[14:38:04.980] [SEVERE ] updating countdown to 59936
[14:38:04.980] [SEVERE ] updating countdown to 59936
[14:38:04.980] [SEVERE ] updating countdown to 59936
[14:38:04.981] [SEVERE ] updating countdown to 59936
[14:38:04.981] [SEVERE ] updating countdown to 59935
[14:38:04.981] [SEVERE ] updating countdown to 59935
[14:38:04.981] [SEVERE ] updating countdown to 59935
