[13:24:21.155] [INFO   ] thread main starting.
[13:24:21.172] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:24:21.180] [SEVERE ] configuration file was loaded from resources directory.
[13:24:22.514] [INFO   ] thread dealer starting.
[13:24:22.517] [INFO   ] thread dealer starting.
[13:24:22.519] [SEVERE ] updating countdown to 60000
[13:24:22.523] [INFO   ] thread Player 0 starting.
[13:24:22.523] [INFO   ] thread Player 1 starting.
[13:24:22.639] [SEVERE ] placing card 0 in slot 6
[13:24:22.740] [SEVERE ] placing card 1 in slot 0
[13:24:22.841] [SEVERE ] placing card 2 in slot 3
[13:24:22.942] [SEVERE ] placing card 3 in slot 5
[13:24:23.045] [SEVERE ] placing card 4 in slot 9
[13:24:23.146] [SEVERE ] placing card 5 in slot 2
[13:24:23.247] [SEVERE ] placing card 6 in slot 7
[13:24:23.348] [SEVERE ] placing card 7 in slot 10
[13:24:23.449] [SEVERE ] placing card 8 in slot 8
[13:24:23.549] [SEVERE ] placing card 9 in slot 11
[13:24:23.650] [SEVERE ] placing card 10 in slot 1
[13:24:23.751] [SEVERE ] placing card 11 in slot 4
[13:24:23.752] [SEVERE ] updating countdown to 60000
[13:24:23.752] [SEVERE ] updating countdown to 60000
[13:24:23.754] [SEVERE ] updating countdown to 59998
[13:24:23.755] [SEVERE ] updating countdown to 59997
[13:24:23.757] [SEVERE ] updating countdown to 59995
[13:24:23.758] [SEVERE ] updating countdown to 59994
[13:24:23.759] [SEVERE ] updating countdown to 59993
[13:24:23.760] [SEVERE ] updating countdown to 59992
[13:24:23.762] [SEVERE ] updating countdown to 59990
[13:24:23.763] [SEVERE ] updating countdown to 59989
[13:24:23.763] [SEVERE ] updating countdown to 59989
[13:24:23.764] [SEVERE ] updating countdown to 59988
[13:24:23.764] [SEVERE ] updating countdown to 59988
[13:24:23.764] [SEVERE ] updating countdown to 59988
[13:24:23.765] [SEVERE ] updating countdown to 59987
[13:24:23.765] [SEVERE ] updating countdown to 59987
[13:24:23.765] [SEVERE ] updating countdown to 59987
[13:24:23.766] [SEVERE ] updating countdown to 59986
[13:24:23.766] [SEVERE ] updating countdown to 59986
[13:24:23.766] [SEVERE ] updating countdown to 59986
[13:24:23.767] [SEVERE ] updating countdown to 59985
[13:24:23.767] [SEVERE ] updating countdown to 59985
[13:24:23.767] [SEVERE ] updating countdown to 59985
[13:24:23.768] [SEVERE ] updating countdown to 59984
[13:24:23.768] [SEVERE ] updating countdown to 59984
[13:24:23.768] [SEVERE ] updating countdown to 59984
[13:24:23.769] [SEVERE ] updating countdown to 59983
[13:24:23.769] [SEVERE ] updating countdown to 59983
[13:24:23.770] [SEVERE ] updating countdown to 59982
[13:24:23.770] [SEVERE ] updating countdown to 59982
[13:24:23.770] [SEVERE ] updating countdown to 59982
[13:24:23.771] [SEVERE ] updating countdown to 59981
[13:24:23.771] [SEVERE ] updating countdown to 59981
[13:24:23.772] [SEVERE ] updating countdown to 59980
[13:24:23.772] [SEVERE ] updating countdown to 59980
[13:24:23.774] [SEVERE ] updating countdown to 59978
[13:24:23.774] [SEVERE ] updating countdown to 59978
[13:24:23.775] [SEVERE ] updating countdown to 59977
[13:24:23.776] [SEVERE ] updating countdown to 59976
[13:24:23.777] [SEVERE ] updating countdown to 59975
[13:24:23.778] [SEVERE ] updating countdown to 59974
[13:24:23.778] [SEVERE ] updating countdown to 59974
[13:24:23.779] [SEVERE ] updating countdown to 59973
[13:24:23.779] [SEVERE ] updating countdown to 59973
[13:24:23.779] [SEVERE ] updating countdown to 59973
[13:24:23.780] [SEVERE ] updating countdown to 59972
[13:24:23.780] [SEVERE ] updating countdown to 59972
[13:24:23.780] [SEVERE ] updating countdown to 59972
[13:24:23.781] [SEVERE ] updating countdown to 59971
[13:24:23.781] [SEVERE ] updating countdown to 59971
[13:24:23.781] [SEVERE ] updating countdown to 59971
[13:24:23.781] [SEVERE ] updating countdown to 59971
[13:24:23.782] [SEVERE ] updating countdown to 59970
[13:24:23.782] [SEVERE ] updating countdown to 59970
[13:24:23.782] [SEVERE ] updating countdown to 59970
[13:24:23.783] [SEVERE ] updating countdown to 59969
[13:24:23.783] [SEVERE ] updating countdown to 59969
[13:24:23.783] [SEVERE ] updating countdown to 59969
[13:24:23.784] [SEVERE ] updating countdown to 59968
[13:24:23.784] [SEVERE ] updating countdown to 59968
[13:24:23.784] [SEVERE ] updating countdown to 59968
[13:24:23.784] [SEVERE ] updating countdown to 59968
[13:24:23.785] [SEVERE ] updating countdown to 59967
[13:24:23.785] [SEVERE ] updating countdown to 59967
[13:24:23.785] [SEVERE ] updating countdown to 59967
[13:24:23.786] [SEVERE ] updating countdown to 59966
[13:24:23.786] [SEVERE ] updating countdown to 59966
[13:24:23.786] [SEVERE ] updating countdown to 59966
[13:24:23.787] [SEVERE ] updating countdown to 59965
[13:24:23.787] [SEVERE ] updating countdown to 59965
[13:24:23.788] [SEVERE ] updating countdown to 59964
[13:24:23.788] [SEVERE ] updating countdown to 59964
[13:24:23.789] [SEVERE ] updating countdown to 59963
[13:24:23.790] [SEVERE ] updating countdown to 59962
[13:24:23.790] [SEVERE ] updating countdown to 59962
