[14:00:21.953] [INFO   ] thread main starting.
[14:00:21.970] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:00:21.977] [SEVERE ] configuration file was loaded from resources directory.
[14:00:23.383] [INFO   ] thread dealer starting.
[14:00:23.386] [INFO   ] thread dealer starting.
[14:00:23.388] [SEVERE ] updating countdown to 60000
[14:00:23.393] [INFO   ] thread Player 0 starting.
[14:00:23.393] [INFO   ] thread Player 1 starting.
[14:00:23.511] [SEVERE ] placing card 0 in slot 6
[14:00:23.612] [SEVERE ] placing card 1 in slot 11
[14:00:23.713] [SEVERE ] placing card 2 in slot 0
[14:00:23.814] [SEVERE ] placing card 3 in slot 9
[14:00:23.916] [SEVERE ] placing card 4 in slot 1
[14:00:24.017] [SEVERE ] placing card 5 in slot 5
[14:00:24.118] [SEVERE ] placing card 6 in slot 7
[14:00:24.219] [SEVERE ] placing card 7 in slot 2
[14:00:24.320] [SEVERE ] placing card 8 in slot 10
[14:00:24.421] [SEVERE ] placing card 9 in slot 4
[14:00:24.522] [SEVERE ] placing card 10 in slot 3
[14:00:24.623] [SEVERE ] placing card 11 in slot 8
[14:00:24.623] [SEVERE ] updating countdown to 60000
[14:00:24.624] [SEVERE ] updating countdown to 59999
[14:00:24.625] [SEVERE ] updating countdown to 59998
[14:00:24.625] [SEVERE ] updating countdown to 59998
[14:00:24.626] [SEVERE ] updating countdown to 59997
[14:00:24.626] [SEVERE ] updating countdown to 59997
[14:00:24.627] [SEVERE ] updating countdown to 59996
[14:00:24.629] [SEVERE ] updating countdown to 59994
[14:00:24.632] [SEVERE ] updating countdown to 59991
[14:00:24.634] [SEVERE ] updating countdown to 59989
[14:00:24.635] [SEVERE ] updating countdown to 59988
[14:00:24.636] [SEVERE ] updating countdown to 59987
[14:00:24.637] [SEVERE ] updating countdown to 59986
[14:00:24.637] [SEVERE ] updating countdown to 59986
[14:00:24.638] [SEVERE ] updating countdown to 59985
[14:00:24.638] [SEVERE ] updating countdown to 59985
[14:00:24.638] [SEVERE ] updating countdown to 59985
[14:00:24.639] [SEVERE ] updating countdown to 59984
[14:00:24.639] [SEVERE ] updating countdown to 59984
[14:00:24.639] [SEVERE ] updating countdown to 59984
[14:00:24.640] [SEVERE ] updating countdown to 59983
[14:00:24.640] [SEVERE ] updating countdown to 59983
[14:00:24.641] [SEVERE ] updating countdown to 59982
[14:00:24.641] [SEVERE ] updating countdown to 59982
[14:00:24.641] [SEVERE ] updating countdown to 59982
[14:00:24.642] [SEVERE ] updating countdown to 59981
[14:00:24.642] [SEVERE ] updating countdown to 59981
[14:00:24.643] [SEVERE ] updating countdown to 59980
[14:00:24.643] [SEVERE ] updating countdown to 59980
[14:00:24.643] [SEVERE ] updating countdown to 59980
[14:00:24.644] [SEVERE ] updating countdown to 59979
[14:00:24.644] [SEVERE ] updating countdown to 59979
[14:00:24.645] [SEVERE ] updating countdown to 59979
[14:00:24.645] [SEVERE ] updating countdown to 59978
[14:00:24.645] [SEVERE ] updating countdown to 59978
[14:00:24.645] [SEVERE ] updating countdown to 59978
[14:00:24.646] [SEVERE ] updating countdown to 59977
[14:00:24.646] [SEVERE ] updating countdown to 59977
[14:00:24.647] [SEVERE ] updating countdown to 59976
[14:00:24.648] [SEVERE ] updating countdown to 59975
[14:00:24.648] [SEVERE ] updating countdown to 59975
[14:00:24.649] [SEVERE ] updating countdown to 59974
[14:00:24.650] [SEVERE ] updating countdown to 59973
[14:00:24.651] [SEVERE ] updating countdown to 59972
[14:00:24.651] [SEVERE ] updating countdown to 59972
[14:00:24.652] [SEVERE ] updating countdown to 59971
[14:00:24.652] [SEVERE ] updating countdown to 59971
[14:00:24.653] [SEVERE ] updating countdown to 59970
[14:00:24.653] [SEVERE ] updating countdown to 59970
[14:00:24.653] [SEVERE ] updating countdown to 59970
[14:00:24.654] [SEVERE ] updating countdown to 59969
[14:00:24.654] [SEVERE ] updating countdown to 59969
[14:00:24.654] [SEVERE ] updating countdown to 59969
[14:00:24.654] [SEVERE ] updating countdown to 59969
[14:00:24.655] [SEVERE ] updating countdown to 59968
[14:00:24.655] [SEVERE ] updating countdown to 59968
[14:00:24.655] [SEVERE ] updating countdown to 59968
[14:00:24.656] [SEVERE ] updating countdown to 59967
[14:00:24.656] [SEVERE ] updating countdown to 59967
[14:00:24.656] [SEVERE ] updating countdown to 59967
[14:00:24.656] [SEVERE ] updating countdown to 59967
[14:00:24.657] [SEVERE ] updating countdown to 59966
[14:00:24.657] [SEVERE ] updating countdown to 59966
[14:00:24.658] [SEVERE ] updating countdown to 59965
[14:00:24.658] [SEVERE ] updating countdown to 59965
[14:00:24.658] [SEVERE ] updating countdown to 59965
[14:00:24.659] [SEVERE ] updating countdown to 59964
[14:00:24.659] [SEVERE ] updating countdown to 59964
[14:00:24.659] [SEVERE ] updating countdown to 59964
[14:00:24.659] [SEVERE ] updating countdown to 59964
[14:00:24.660] [SEVERE ] updating countdown to 59963
[14:00:24.660] [SEVERE ] updating countdown to 59963
[14:00:24.660] [SEVERE ] updating countdown to 59963
[14:00:24.661] [SEVERE ] updating countdown to 59962
[14:00:24.661] [SEVERE ] updating countdown to 59962
[14:00:24.661] [SEVERE ] updating countdown to 59962
[14:00:24.661] [SEVERE ] updating countdown to 59962
[14:00:24.662] [SEVERE ] updating countdown to 59961
[14:00:24.662] [SEVERE ] updating countdown to 59961
[14:00:24.663] [SEVERE ] updating countdown to 59960
[14:00:24.663] [SEVERE ] updating countdown to 59960
[14:00:24.664] [SEVERE ] updating countdown to 59960
[14:00:24.664] [SEVERE ] updating countdown to 59959
[14:00:24.665] [SEVERE ] updating countdown to 59958
[14:00:24.667] [SEVERE ] updating countdown to 59956
[14:00:24.668] [SEVERE ] updating countdown to 59955
[14:00:24.668] [SEVERE ] updating countdown to 59955
[14:00:24.669] [SEVERE ] updating countdown to 59954
[14:00:24.669] [SEVERE ] updating countdown to 59954
[14:00:24.670] [SEVERE ] updating countdown to 59953
[14:00:24.670] [SEVERE ] updating countdown to 59953
[14:00:24.670] [SEVERE ] updating countdown to 59953
[14:00:24.671] [SEVERE ] updating countdown to 59952
[14:00:24.671] [SEVERE ] updating countdown to 59952
[14:00:24.671] [SEVERE ] updating countdown to 59952
[14:00:24.672] [SEVERE ] updating countdown to 59951
[14:00:24.672] [SEVERE ] updating countdown to 59951
[14:00:24.672] [SEVERE ] updating countdown to 59951
[14:00:24.673] [SEVERE ] updating countdown to 59950
[14:00:24.673] [SEVERE ] updating countdown to 59950
[14:00:24.673] [SEVERE ] updating countdown to 59950
[14:00:24.673] [SEVERE ] updating countdown to 59950
[14:00:24.674] [SEVERE ] updating countdown to 59949
[14:00:24.674] [SEVERE ] updating countdown to 59949
[14:00:24.674] [SEVERE ] updating countdown to 59949
[14:00:24.674] [SEVERE ] updating countdown to 59949
[14:00:24.675] [SEVERE ] updating countdown to 59948
[14:00:24.675] [SEVERE ] updating countdown to 59948
[14:00:24.675] [SEVERE ] updating countdown to 59948
[14:00:24.675] [SEVERE ] updating countdown to 59948
[14:00:24.676] [SEVERE ] updating countdown to 59947
[14:00:24.676] [SEVERE ] updating countdown to 59947
[14:00:24.676] [SEVERE ] updating countdown to 59947
[14:00:24.676] [SEVERE ] updating countdown to 59947
[14:00:24.677] [SEVERE ] updating countdown to 59946
[14:00:24.677] [SEVERE ] updating countdown to 59946
[14:00:24.677] [SEVERE ] updating countdown to 59946
[14:00:24.678] [SEVERE ] updating countdown to 59945
[14:00:24.678] [SEVERE ] updating countdown to 59945
[14:00:24.678] [SEVERE ] updating countdown to 59945
[14:00:24.679] [SEVERE ] updating countdown to 59944
[14:00:24.680] [SEVERE ] updating countdown to 59943
[14:00:24.680] [SEVERE ] updating countdown to 59943
