[14:43:29.024] [INFO   ] thread main starting.
[14:43:29.040] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:43:29.049] [SEVERE ] configuration file was loaded from resources directory.
[14:43:30.424] [INFO   ] thread dealer starting.
[14:43:30.426] [INFO   ] thread dealer starting.
[14:43:30.427] [SEVERE ] updating countdown to 60000
[14:43:30.431] [INFO   ] thread Player 0 starting.
[14:43:30.431] [INFO   ] thread Player 1 starting.
[14:43:30.544] [SEVERE ] placing card 0 in slot 0
[14:43:30.645] [SEVERE ] placing card 1 in slot 3
[14:43:30.745] [SEVERE ] placing card 2 in slot 11
[14:43:30.848] [SEVERE ] placing card 3 in slot 10
[14:43:30.949] [SEVERE ] placing card 4 in slot 9
[14:43:31.050] [SEVERE ] placing card 5 in slot 2
[14:43:31.151] [SEVERE ] placing card 6 in slot 5
[14:43:31.252] [SEVERE ] placing card 7 in slot 8
[14:43:31.354] [SEVERE ] placing card 8 in slot 6
[14:43:31.456] [SEVERE ] placing card 9 in slot 4
[14:43:31.557] [SEVERE ] placing card 10 in slot 1
[14:43:31.657] [SEVERE ] placing card 11 in slot 7
[14:43:31.658] [SEVERE ] updating countdown to 60000
[14:43:31.659] [SEVERE ] updating countdown to 59999
[14:43:31.659] [SEVERE ] updating countdown to 59999
[14:43:31.660] [SEVERE ] updating countdown to 59998
[14:43:31.661] [SEVERE ] updating countdown to 59997
[14:43:31.662] [SEVERE ] updating countdown to 59996
[14:43:31.664] [SEVERE ] updating countdown to 59994
[14:43:31.664] [SEVERE ] updating countdown to 59994
[14:43:31.665] [SEVERE ] updating countdown to 59993
[14:43:31.667] [SEVERE ] updating countdown to 59991
[14:43:31.668] [SEVERE ] updating countdown to 59990
[14:43:31.668] [SEVERE ] updating countdown to 59990
[14:43:31.669] [SEVERE ] updating countdown to 59989
[14:43:31.669] [SEVERE ] updating countdown to 59989
[14:43:31.669] [SEVERE ] updating countdown to 59989
[14:43:31.671] [SEVERE ] updating countdown to 59987
[14:43:31.672] [SEVERE ] updating countdown to 59986
[14:43:31.672] [SEVERE ] updating countdown to 59986
[14:43:31.673] [SEVERE ] updating countdown to 59985
[14:43:31.673] [SEVERE ] updating countdown to 59985
[14:43:31.673] [SEVERE ] updating countdown to 59985
[14:43:31.674] [SEVERE ] updating countdown to 59984
[14:43:31.674] [SEVERE ] updating countdown to 59984
[14:43:31.674] [SEVERE ] updating countdown to 59984
[14:43:31.683] [SEVERE ] updating countdown to 59975
[14:43:31.683] [SEVERE ] updating countdown to 59975
[14:43:31.684] [SEVERE ] updating countdown to 59974
[14:43:31.684] [SEVERE ] updating countdown to 59974
[14:43:31.685] [SEVERE ] updating countdown to 59973
[14:43:31.686] [SEVERE ] updating countdown to 59972
[14:43:31.687] [SEVERE ] updating countdown to 59971
[14:43:31.688] [SEVERE ] updating countdown to 59970
[14:43:31.690] [SEVERE ] updating countdown to 59968
[14:43:31.691] [SEVERE ] updating countdown to 59967
[14:43:31.692] [SEVERE ] updating countdown to 59966
[14:43:31.692] [SEVERE ] updating countdown to 59966
[14:43:31.693] [SEVERE ] updating countdown to 59965
[14:43:31.693] [SEVERE ] updating countdown to 59965
[14:43:31.694] [SEVERE ] updating countdown to 59964
[14:43:31.694] [SEVERE ] updating countdown to 59964
[14:43:31.695] [SEVERE ] updating countdown to 59963
[14:43:31.695] [SEVERE ] updating countdown to 59963
[14:43:31.695] [SEVERE ] updating countdown to 59963
[14:43:31.696] [SEVERE ] updating countdown to 59962
[14:43:31.696] [SEVERE ] updating countdown to 59962
[14:43:31.696] [SEVERE ] updating countdown to 59962
[14:43:31.697] [SEVERE ] updating countdown to 59961
[14:43:31.697] [SEVERE ] updating countdown to 59961
[14:43:31.697] [SEVERE ] updating countdown to 59961
[14:43:31.698] [SEVERE ] updating countdown to 59960
[14:43:31.698] [SEVERE ] updating countdown to 59960
[14:43:31.699] [SEVERE ] updating countdown to 59959
[14:43:31.699] [SEVERE ] updating countdown to 59959
[14:43:31.700] [SEVERE ] updating countdown to 59958
[14:43:31.701] [SEVERE ] updating countdown to 59957
[14:43:31.702] [SEVERE ] updating countdown to 59956
[14:43:31.702] [SEVERE ] updating countdown to 59956
[14:43:31.702] [SEVERE ] updating countdown to 59956
[14:43:31.703] [SEVERE ] updating countdown to 59955
[14:43:31.703] [SEVERE ] updating countdown to 59955
[14:43:31.703] [SEVERE ] updating countdown to 59955
[14:43:31.704] [SEVERE ] updating countdown to 59954
[14:43:31.705] [SEVERE ] updating countdown to 59953
[14:43:31.706] [SEVERE ] updating countdown to 59952
[14:43:31.706] [SEVERE ] updating countdown to 59952
[14:43:31.706] [SEVERE ] updating countdown to 59952
[14:43:31.707] [SEVERE ] updating countdown to 59951
[14:43:31.707] [SEVERE ] updating countdown to 59951
[14:43:31.707] [SEVERE ] updating countdown to 59951
[14:43:31.708] [SEVERE ] updating countdown to 59950
[14:43:31.708] [SEVERE ] updating countdown to 59950
[14:43:31.708] [SEVERE ] updating countdown to 59950
[14:43:31.708] [SEVERE ] updating countdown to 59950
[14:43:31.709] [SEVERE ] updating countdown to 59949
[14:43:31.709] [SEVERE ] updating countdown to 59949
[14:43:31.709] [SEVERE ] updating countdown to 59949
[14:43:31.709] [SEVERE ] updating countdown to 59949
[14:43:31.710] [SEVERE ] updating countdown to 59948
[14:43:31.710] [SEVERE ] updating countdown to 59948
[14:43:31.710] [SEVERE ] updating countdown to 59948
[14:43:31.710] [SEVERE ] updating countdown to 59948
[14:43:31.711] [SEVERE ] updating countdown to 59947
[14:43:31.711] [SEVERE ] updating countdown to 59947
[14:43:31.711] [SEVERE ] updating countdown to 59947
[14:43:31.712] [SEVERE ] updating countdown to 59946
[14:43:31.712] [SEVERE ] updating countdown to 59946
[14:43:31.712] [SEVERE ] updating countdown to 59946
[14:43:31.713] [SEVERE ] updating countdown to 59945
[14:43:31.713] [SEVERE ] updating countdown to 59945
[14:43:31.713] [SEVERE ] updating countdown to 59945
[14:43:31.714] [SEVERE ] updating countdown to 59944
[14:43:31.714] [SEVERE ] updating countdown to 59944
[14:43:31.714] [SEVERE ] updating countdown to 59944
[14:43:31.715] [SEVERE ] updating countdown to 59943
[14:43:31.715] [SEVERE ] updating countdown to 59943
[14:43:31.715] [SEVERE ] updating countdown to 59943
[14:43:31.716] [SEVERE ] updating countdown to 59942
[14:43:31.716] [SEVERE ] updating countdown to 59942
[14:43:31.717] [SEVERE ] updating countdown to 59941
[14:43:31.717] [SEVERE ] updating countdown to 59941
[14:43:31.718] [SEVERE ] updating countdown to 59940
[14:43:31.718] [SEVERE ] updating countdown to 59940
[14:43:31.719] [SEVERE ] updating countdown to 59939
[14:43:31.719] [SEVERE ] updating countdown to 59939
[14:43:31.720] [SEVERE ] updating countdown to 59938
[14:43:31.721] [SEVERE ] updating countdown to 59937
[14:43:31.721] [SEVERE ] updating countdown to 59937
[14:43:31.722] [SEVERE ] updating countdown to 59936
