[09:07:44.066] [INFO   ] thread main starting.
[09:07:44.082] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:07:44.094] [SEVERE ] configuration file was loaded from resources directory.
[09:07:45.404] [INFO   ] thread dealer starting.
[09:07:45.406] [INFO   ] thread dealer starting.
[09:07:45.410] [INFO   ] thread Player 0 starting.
[09:07:45.410] [INFO   ] thread Player 1 starting.
[09:07:45.417] [SEVERE ] updating countdown to 60000
[09:07:45.420] [SEVERE ] updating countdown to 59997
[09:07:45.422] [SEVERE ] updating countdown to 59996
[09:07:45.427] [SEVERE ] updating countdown to 59990
[09:07:45.432] [SEVERE ] updating countdown to 59985
[09:07:45.433] [SEVERE ] updating countdown to 59984
[09:07:45.435] [SEVERE ] updating countdown to 59982
[09:07:45.436] [SEVERE ] updating countdown to 59981
[09:07:45.438] [SEVERE ] updating countdown to 59979
[09:07:45.439] [SEVERE ] updating countdown to 59978
[09:07:45.440] [SEVERE ] updating countdown to 59977
[09:07:45.441] [SEVERE ] updating countdown to 59976
[09:07:45.443] [SEVERE ] updating countdown to 59974
[09:07:45.445] [SEVERE ] updating countdown to 59972
[09:07:45.448] [SEVERE ] updating countdown to 59969
[09:07:45.449] [SEVERE ] updating countdown to 59968
[09:07:45.451] [SEVERE ] updating countdown to 59966
[09:07:45.452] [SEVERE ] updating countdown to 59965
[09:07:45.453] [SEVERE ] updating countdown to 59964
[09:07:45.453] [SEVERE ] updating countdown to 59964
[09:07:45.454] [SEVERE ] updating countdown to 59963
[09:07:45.455] [SEVERE ] updating countdown to 59962
[09:07:45.455] [SEVERE ] updating countdown to 59962
[09:07:45.456] [SEVERE ] updating countdown to 59961
[09:07:45.458] [SEVERE ] updating countdown to 59959
[09:07:45.461] [SEVERE ] updating countdown to 59956
[09:07:45.464] [SEVERE ] updating countdown to 59953
[09:07:45.465] [SEVERE ] updating countdown to 59952
[09:07:45.466] [SEVERE ] updating countdown to 59951
[09:07:45.467] [SEVERE ] updating countdown to 59950
[09:07:45.468] [SEVERE ] updating countdown to 59949
[09:07:45.469] [SEVERE ] updating countdown to 59948
[09:07:45.469] [SEVERE ] updating countdown to 59948
[09:07:45.470] [SEVERE ] updating countdown to 59947
[09:07:45.470] [SEVERE ] updating countdown to 59947
[09:07:45.470] [SEVERE ] updating countdown to 59947
[09:07:45.471] [SEVERE ] updating countdown to 59946
[09:07:45.471] [SEVERE ] updating countdown to 59946
[09:07:45.472] [SEVERE ] updating countdown to 59945
[09:07:45.473] [SEVERE ] updating countdown to 59944
[09:07:45.473] [SEVERE ] updating countdown to 59944
[09:07:45.475] [SEVERE ] updating countdown to 59943
[09:07:45.476] [SEVERE ] updating countdown to 59941
[09:07:45.476] [SEVERE ] updating countdown to 59941
[09:07:45.477] [SEVERE ] updating countdown to 59940
[09:07:45.478] [SEVERE ] updating countdown to 59939
[09:07:45.479] [SEVERE ] updating countdown to 59938
[09:07:45.480] [SEVERE ] updating countdown to 59937
[09:07:45.480] [SEVERE ] updating countdown to 59937
[09:07:45.481] [SEVERE ] updating countdown to 59936
[09:07:45.481] [SEVERE ] updating countdown to 59936
[09:07:45.481] [SEVERE ] updating countdown to 59936
[09:07:45.482] [SEVERE ] updating countdown to 59935
[09:07:45.482] [SEVERE ] updating countdown to 59935
[09:07:45.483] [SEVERE ] updating countdown to 59934
[09:07:45.483] [SEVERE ] updating countdown to 59934
[09:07:45.483] [SEVERE ] updating countdown to 59934
[09:07:45.484] [SEVERE ] updating countdown to 59933
[09:07:45.484] [SEVERE ] updating countdown to 59933
[09:07:45.485] [SEVERE ] updating countdown to 59932
[09:07:45.485] [SEVERE ] updating countdown to 59932
[09:07:45.486] [SEVERE ] updating countdown to 59931
[09:07:45.486] [SEVERE ] updating countdown to 59931
[09:07:45.487] [SEVERE ] updating countdown to 59930
[09:07:45.487] [SEVERE ] updating countdown to 59930
[09:07:45.487] [SEVERE ] updating countdown to 59930
[09:07:45.488] [SEVERE ] updating countdown to 59929
[09:07:45.488] [SEVERE ] updating countdown to 59929
[09:07:45.488] [SEVERE ] updating countdown to 59929
[09:07:45.489] [SEVERE ] updating countdown to 59928
[09:07:45.489] [SEVERE ] updating countdown to 59928
[09:07:45.491] [SEVERE ] updating countdown to 59926
[09:07:45.492] [SEVERE ] updating countdown to 59925
[09:07:45.493] [SEVERE ] updating countdown to 59924
[09:07:45.494] [SEVERE ] updating countdown to 59923
[09:07:45.494] [SEVERE ] updating countdown to 59923
[09:07:45.495] [SEVERE ] updating countdown to 59922
[09:07:45.496] [SEVERE ] updating countdown to 59921
[09:07:45.497] [SEVERE ] updating countdown to 59920
[09:07:45.497] [SEVERE ] updating countdown to 59920
[09:07:45.498] [SEVERE ] updating countdown to 59919
[09:07:45.498] [SEVERE ] updating countdown to 59919
[09:07:45.498] [SEVERE ] updating countdown to 59919
[09:07:45.499] [SEVERE ] updating countdown to 59918
[09:07:45.499] [SEVERE ] updating countdown to 59918
[09:07:45.499] [SEVERE ] updating countdown to 59918
[09:07:45.500] [SEVERE ] updating countdown to 59917
[09:07:45.500] [SEVERE ] updating countdown to 59917
[09:07:45.501] [SEVERE ] updating countdown to 59916
[09:07:45.501] [SEVERE ] updating countdown to 59916
[09:07:45.501] [SEVERE ] updating countdown to 59916
[09:07:45.502] [SEVERE ] updating countdown to 59915
