[14:35:13.763] [INFO   ] thread main starting.
[14:35:13.780] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:35:13.790] [SEVERE ] configuration file was loaded from resources directory.
[14:35:15.206] [INFO   ] thread dealer starting.
[14:35:15.208] [INFO   ] thread dealer starting.
[14:35:15.209] [SEVERE ] updating countdown to 60000
[14:35:15.211] [INFO   ] thread Player 0 starting.
[14:35:15.211] [INFO   ] thread Player 1 starting.
[14:35:15.329] [SEVERE ] placing card 0 in slot 3
[14:35:15.430] [SEVERE ] placing card 1 in slot 8
[14:35:15.531] [SEVERE ] placing card 2 in slot 2
[14:35:15.632] [SEVERE ] placing card 3 in slot 10
[14:35:15.733] [SEVERE ] placing card 4 in slot 4
[14:35:15.836] [SEVERE ] placing card 5 in slot 1
[14:35:15.937] [SEVERE ] placing card 6 in slot 6
[14:35:16.037] [SEVERE ] placing card 7 in slot 11
[14:35:16.138] [SEVERE ] placing card 8 in slot 0
[14:35:16.239] [SEVERE ] placing card 9 in slot 5
[14:35:16.340] [SEVERE ] placing card 10 in slot 7
[14:35:16.441] [SEVERE ] placing card 11 in slot 9
[14:35:16.441] [SEVERE ] updating countdown to 60000
[14:35:16.442] [SEVERE ] updating countdown to 59999
[14:35:16.442] [SEVERE ] updating countdown to 59999
[14:35:16.443] [SEVERE ] updating countdown to 59998
[14:35:16.444] [SEVERE ] updating countdown to 59997
[14:35:16.445] [SEVERE ] updating countdown to 59996
[14:35:16.446] [SEVERE ] updating countdown to 59995
[14:35:16.446] [SEVERE ] updating countdown to 59995
[14:35:16.447] [SEVERE ] updating countdown to 59994
[14:35:16.448] [SEVERE ] updating countdown to 59993
[14:35:16.448] [SEVERE ] updating countdown to 59993
[14:35:16.449] [SEVERE ] updating countdown to 59992
[14:35:16.451] [SEVERE ] updating countdown to 59990
[14:35:16.453] [SEVERE ] updating countdown to 59988
[14:35:16.454] [SEVERE ] updating countdown to 59987
[14:35:16.455] [SEVERE ] updating countdown to 59986
[14:35:16.456] [SEVERE ] updating countdown to 59985
[14:35:16.456] [SEVERE ] updating countdown to 59985
[14:35:16.457] [SEVERE ] updating countdown to 59984
[14:35:16.457] [SEVERE ] updating countdown to 59984
[14:35:16.458] [SEVERE ] updating countdown to 59983
[14:35:16.458] [SEVERE ] updating countdown to 59983
[14:35:16.459] [SEVERE ] updating countdown to 59982
[14:35:16.459] [SEVERE ] updating countdown to 59982
[14:35:16.459] [SEVERE ] updating countdown to 59982
[14:35:16.460] [SEVERE ] updating countdown to 59981
[14:35:16.460] [SEVERE ] updating countdown to 59981
[14:35:16.461] [SEVERE ] updating countdown to 59980
[14:35:16.461] [SEVERE ] updating countdown to 59980
[14:35:16.461] [SEVERE ] updating countdown to 59980
[14:35:16.462] [SEVERE ] updating countdown to 59979
[14:35:16.462] [SEVERE ] updating countdown to 59979
[14:35:16.462] [SEVERE ] updating countdown to 59979
[14:35:16.462] [SEVERE ] updating countdown to 59979
[14:35:16.463] [SEVERE ] updating countdown to 59978
[14:35:16.463] [SEVERE ] updating countdown to 59978
[14:35:16.463] [SEVERE ] updating countdown to 59978
[14:35:16.463] [SEVERE ] updating countdown to 59978
[14:35:16.464] [SEVERE ] updating countdown to 59977
[14:35:16.464] [SEVERE ] updating countdown to 59977
[14:35:16.464] [SEVERE ] updating countdown to 59977
[14:35:16.464] [SEVERE ] updating countdown to 59977
[14:35:16.465] [SEVERE ] updating countdown to 59976
[14:35:16.465] [SEVERE ] updating countdown to 59976
[14:35:16.465] [SEVERE ] updating countdown to 59976
[14:35:16.465] [SEVERE ] updating countdown to 59976
[14:35:16.466] [SEVERE ] updating countdown to 59975
[14:35:16.466] [SEVERE ] updating countdown to 59975
[14:35:16.467] [SEVERE ] updating countdown to 59974
[14:35:16.468] [SEVERE ] updating countdown to 59973
[14:35:16.468] [SEVERE ] updating countdown to 59973
[14:35:16.469] [SEVERE ] updating countdown to 59972
[14:35:16.469] [SEVERE ] updating countdown to 59972
[14:35:16.470] [SEVERE ] updating countdown to 59971
[14:35:16.470] [SEVERE ] updating countdown to 59971
[14:35:16.470] [SEVERE ] updating countdown to 59971
[14:35:16.471] [SEVERE ] updating countdown to 59970
[14:35:16.471] [SEVERE ] updating countdown to 59970
[14:35:16.472] [SEVERE ] updating countdown to 59969
[14:35:16.472] [SEVERE ] updating countdown to 59969
[14:35:16.473] [SEVERE ] updating countdown to 59968
[14:35:16.473] [SEVERE ] updating countdown to 59968
[14:35:16.474] [SEVERE ] updating countdown to 59967
[14:35:16.475] [SEVERE ] updating countdown to 59966
[14:35:16.475] [SEVERE ] updating countdown to 59966
[14:35:16.475] [SEVERE ] updating countdown to 59966
[14:35:16.476] [SEVERE ] updating countdown to 59965
[14:35:16.476] [SEVERE ] updating countdown to 59965
[14:35:16.476] [SEVERE ] updating countdown to 59965
[14:35:16.476] [SEVERE ] updating countdown to 59965
[14:35:16.477] [SEVERE ] updating countdown to 59964
[14:35:16.477] [SEVERE ] updating countdown to 59964
[14:35:16.477] [SEVERE ] updating countdown to 59964
[14:35:16.477] [SEVERE ] updating countdown to 59964
[14:35:16.478] [SEVERE ] updating countdown to 59963
[14:35:16.478] [SEVERE ] updating countdown to 59963
[14:35:16.478] [SEVERE ] updating countdown to 59963
[14:35:16.478] [SEVERE ] updating countdown to 59963
[14:35:16.479] [SEVERE ] updating countdown to 59962
[14:35:16.479] [SEVERE ] updating countdown to 59962
[14:35:16.479] [SEVERE ] updating countdown to 59962
[14:35:16.480] [SEVERE ] updating countdown to 59961
[14:35:16.480] [SEVERE ] updating countdown to 59961
[14:35:16.480] [SEVERE ] updating countdown to 59961
[14:35:16.480] [SEVERE ] updating countdown to 59961
[14:35:16.481] [SEVERE ] updating countdown to 59960
[14:35:16.481] [SEVERE ] updating countdown to 59960
[14:35:16.481] [SEVERE ] updating countdown to 59960
[14:35:16.481] [SEVERE ] updating countdown to 59960
[14:35:16.482] [SEVERE ] updating countdown to 59959
[14:35:16.482] [SEVERE ] updating countdown to 59959
[14:35:16.483] [SEVERE ] updating countdown to 59959
[14:35:16.484] [SEVERE ] updating countdown to 59957
[14:35:16.485] [SEVERE ] updating countdown to 59956
[14:35:16.485] [SEVERE ] updating countdown to 59956
