[14:43:04.836] [INFO   ] thread main starting.
[14:43:04.855] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:43:04.863] [SEVERE ] configuration file was loaded from resources directory.
[14:43:06.306] [INFO   ] thread dealer starting.
[14:43:06.311] [INFO   ] thread dealer starting.
[14:43:06.312] [SEVERE ] updating countdown to 60000
[14:43:06.317] [INFO   ] thread Player 0 starting.
[14:43:06.317] [INFO   ] thread Player 1 starting.
[14:43:06.435] [SEVERE ] placing card 0 in slot 6
[14:43:06.536] [SEVERE ] placing card 1 in slot 9
[14:43:06.638] [SEVERE ] placing card 2 in slot 3
[14:43:06.740] [SEVERE ] placing card 3 in slot 5
[14:43:06.841] [SEVERE ] placing card 4 in slot 10
[14:43:06.942] [SEVERE ] placing card 5 in slot 1
[14:43:07.043] [SEVERE ] placing card 6 in slot 8
[14:43:07.144] [SEVERE ] placing card 7 in slot 0
[14:43:07.245] [SEVERE ] placing card 8 in slot 7
[14:43:07.346] [SEVERE ] placing card 9 in slot 4
[14:43:07.447] [SEVERE ] placing card 10 in slot 11
[14:43:07.548] [SEVERE ] placing card 11 in slot 2
[14:43:07.548] [SEVERE ] updating countdown to 60000
[14:43:07.549] [SEVERE ] updating countdown to 59999
[14:43:07.549] [SEVERE ] updating countdown to 59999
[14:43:07.550] [SEVERE ] updating countdown to 59998
[14:43:07.550] [SEVERE ] updating countdown to 59998
[14:43:07.551] [SEVERE ] updating countdown to 59997
[14:43:07.552] [SEVERE ] updating countdown to 59996
[14:43:07.552] [SEVERE ] updating countdown to 59996
[14:43:07.553] [SEVERE ] updating countdown to 59995
[14:43:07.554] [SEVERE ] updating countdown to 59994
[14:43:07.555] [SEVERE ] updating countdown to 59993
[14:43:07.555] [SEVERE ] updating countdown to 59993
[14:43:07.556] [SEVERE ] updating countdown to 59992
[14:43:07.557] [SEVERE ] updating countdown to 59991
[14:43:07.557] [SEVERE ] updating countdown to 59991
[14:43:07.558] [SEVERE ] updating countdown to 59990
[14:43:07.558] [SEVERE ] updating countdown to 59990
[14:43:07.559] [SEVERE ] updating countdown to 59989
[14:43:07.559] [SEVERE ] updating countdown to 59989
[14:43:07.560] [SEVERE ] updating countdown to 59988
[14:43:07.561] [SEVERE ] updating countdown to 59987
[14:43:07.563] [SEVERE ] updating countdown to 59986
[14:43:07.563] [SEVERE ] updating countdown to 59985
[14:43:07.564] [SEVERE ] updating countdown to 59984
[14:43:07.565] [SEVERE ] updating countdown to 59983
[14:43:07.565] [SEVERE ] updating countdown to 59983
[14:43:07.566] [SEVERE ] updating countdown to 59982
[14:43:07.567] [SEVERE ] updating countdown to 59981
[14:43:07.567] [SEVERE ] updating countdown to 59981
[14:43:07.567] [SEVERE ] updating countdown to 59981
[14:43:07.568] [SEVERE ] updating countdown to 59980
[14:43:07.568] [SEVERE ] updating countdown to 59980
[14:43:07.569] [SEVERE ] updating countdown to 59979
[14:43:07.569] [SEVERE ] updating countdown to 59979
[14:43:07.570] [SEVERE ] updating countdown to 59978
[14:43:07.570] [SEVERE ] updating countdown to 59978
[14:43:07.571] [SEVERE ] updating countdown to 59977
[14:43:07.571] [SEVERE ] updating countdown to 59977
[14:43:07.571] [SEVERE ] updating countdown to 59977
[14:43:07.572] [SEVERE ] updating countdown to 59976
[14:43:07.572] [SEVERE ] updating countdown to 59976
[14:43:07.573] [SEVERE ] updating countdown to 59975
[14:43:07.573] [SEVERE ] updating countdown to 59975
[14:43:07.573] [SEVERE ] updating countdown to 59975
[14:43:07.574] [SEVERE ] updating countdown to 59974
[14:43:07.574] [SEVERE ] updating countdown to 59974
[14:43:07.574] [SEVERE ] updating countdown to 59974
[14:43:07.575] [SEVERE ] updating countdown to 59973
[14:43:07.576] [SEVERE ] updating countdown to 59972
[14:43:07.576] [SEVERE ] updating countdown to 59972
[14:43:07.578] [SEVERE ] updating countdown to 59970
[14:43:07.580] [SEVERE ] updating countdown to 59968
[14:43:07.581] [SEVERE ] updating countdown to 59967
[14:43:07.582] [SEVERE ] updating countdown to 59966
[14:43:07.582] [SEVERE ] updating countdown to 59966
[14:43:07.583] [SEVERE ] updating countdown to 59965
[14:43:07.584] [SEVERE ] updating countdown to 59964
[14:43:07.584] [SEVERE ] updating countdown to 59964
[14:43:07.584] [SEVERE ] updating countdown to 59964
[14:43:07.585] [SEVERE ] updating countdown to 59963
[14:43:07.585] [SEVERE ] updating countdown to 59963
[14:43:07.586] [SEVERE ] updating countdown to 59962
[14:43:07.586] [SEVERE ] updating countdown to 59962
[14:43:07.586] [SEVERE ] updating countdown to 59962
[14:43:07.587] [SEVERE ] updating countdown to 59961
[14:43:07.587] [SEVERE ] updating countdown to 59961
[14:43:07.587] [SEVERE ] updating countdown to 59961
[14:43:07.588] [SEVERE ] updating countdown to 59960
[14:43:07.588] [SEVERE ] updating countdown to 59960
[14:43:07.588] [SEVERE ] updating countdown to 59960
[14:43:07.589] [SEVERE ] updating countdown to 59959
[14:43:07.589] [SEVERE ] updating countdown to 59959
[14:43:07.590] [SEVERE ] updating countdown to 59958
[14:43:07.590] [SEVERE ] updating countdown to 59958
[14:43:07.590] [SEVERE ] updating countdown to 59958
[14:43:07.591] [SEVERE ] updating countdown to 59957
[14:43:07.592] [SEVERE ] updating countdown to 59956
[14:43:07.594] [SEVERE ] updating countdown to 59955
[14:43:07.595] [SEVERE ] updating countdown to 59953
[14:43:07.596] [SEVERE ] updating countdown to 59952
[14:43:07.597] [SEVERE ] updating countdown to 59951
[14:43:07.597] [SEVERE ] updating countdown to 59951
[14:43:07.598] [SEVERE ] updating countdown to 59950
[14:43:07.598] [SEVERE ] updating countdown to 59950
