[14:32:47.000] [INFO   ] thread main starting.
[14:32:47.018] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:32:47.029] [SEVERE ] configuration file was loaded from resources directory.
[14:32:48.347] [INFO   ] thread dealer starting.
[14:32:48.349] [INFO   ] thread dealer starting.
[14:32:48.350] [SEVERE ] updating countdown to 60000
[14:32:48.356] [INFO   ] thread Player 0 starting.
[14:32:48.357] [INFO   ] thread Player 1 starting.
[14:32:48.471] [SEVERE ] placing card 0 in slot 1
[14:32:48.572] [SEVERE ] placing card 1 in slot 8
[14:32:48.673] [SEVERE ] placing card 2 in slot 10
[14:32:48.774] [SEVERE ] placing card 3 in slot 7
[14:32:48.875] [SEVERE ] placing card 4 in slot 2
[14:32:48.976] [SEVERE ] placing card 5 in slot 5
[14:32:49.077] [SEVERE ] placing card 6 in slot 4
[14:32:49.178] [SEVERE ] placing card 7 in slot 9
[14:32:49.278] [SEVERE ] placing card 8 in slot 11
[14:32:49.379] [SEVERE ] placing card 9 in slot 6
[14:32:49.480] [SEVERE ] placing card 10 in slot 3
[14:32:49.581] [SEVERE ] placing card 11 in slot 0
[14:32:49.582] [SEVERE ] updating countdown to 60000
[14:32:49.582] [SEVERE ] updating countdown to 60000
[14:32:49.583] [SEVERE ] updating countdown to 59999
[14:32:49.584] [SEVERE ] updating countdown to 59998
[14:32:49.585] [SEVERE ] updating countdown to 59997
[14:32:49.587] [SEVERE ] updating countdown to 59995
[14:32:49.588] [SEVERE ] updating countdown to 59994
[14:32:49.589] [SEVERE ] updating countdown to 59993
[14:32:49.590] [SEVERE ] updating countdown to 59992
[14:32:49.591] [SEVERE ] updating countdown to 59991
[14:32:49.592] [SEVERE ] updating countdown to 59990
[14:32:49.593] [SEVERE ] updating countdown to 59989
[14:32:49.594] [SEVERE ] updating countdown to 59988
[14:32:49.594] [SEVERE ] updating countdown to 59988
[14:32:49.595] [SEVERE ] updating countdown to 59987
[14:32:49.595] [SEVERE ] updating countdown to 59987
[14:32:49.596] [SEVERE ] updating countdown to 59986
[14:32:49.596] [SEVERE ] updating countdown to 59986
[14:32:49.597] [SEVERE ] updating countdown to 59985
[14:32:49.597] [SEVERE ] updating countdown to 59985
[14:32:49.597] [SEVERE ] updating countdown to 59985
[14:32:49.598] [SEVERE ] updating countdown to 59984
[14:32:49.598] [SEVERE ] updating countdown to 59984
[14:32:49.598] [SEVERE ] updating countdown to 59984
[14:32:49.614] [SEVERE ] updating countdown to 59968
[14:32:49.616] [SEVERE ] updating countdown to 59966
[14:32:49.617] [SEVERE ] updating countdown to 59965
[14:32:49.617] [SEVERE ] updating countdown to 59965
[14:32:49.619] [SEVERE ] updating countdown to 59963
[14:32:49.620] [SEVERE ] updating countdown to 59962
[14:32:49.621] [SEVERE ] updating countdown to 59962
[14:32:49.621] [SEVERE ] updating countdown to 59961
[14:32:49.622] [SEVERE ] updating countdown to 59960
[14:32:49.622] [SEVERE ] updating countdown to 59960
[14:32:49.623] [SEVERE ] updating countdown to 59959
[14:32:49.623] [SEVERE ] updating countdown to 59959
[14:32:49.624] [SEVERE ] updating countdown to 59958
[14:32:49.625] [SEVERE ] updating countdown to 59957
[14:32:49.626] [SEVERE ] updating countdown to 59956
[14:32:49.627] [SEVERE ] updating countdown to 59955
[14:32:49.628] [SEVERE ] updating countdown to 59954
[14:32:49.629] [SEVERE ] updating countdown to 59953
[14:32:49.629] [SEVERE ] updating countdown to 59953
[14:32:49.630] [SEVERE ] updating countdown to 59952
[14:32:49.630] [SEVERE ] updating countdown to 59952
[14:32:49.631] [SEVERE ] updating countdown to 59951
[14:32:49.631] [SEVERE ] updating countdown to 59951
[14:32:49.631] [SEVERE ] updating countdown to 59951
[14:32:49.631] [SEVERE ] updating countdown to 59951
[14:32:49.632] [SEVERE ] updating countdown to 59950
[14:32:49.632] [SEVERE ] updating countdown to 59950
[14:32:49.632] [SEVERE ] updating countdown to 59950
[14:32:49.633] [SEVERE ] updating countdown to 59949
[14:32:49.633] [SEVERE ] updating countdown to 59949
[14:32:49.633] [SEVERE ] updating countdown to 59949
[14:32:49.634] [SEVERE ] updating countdown to 59948
[14:32:49.634] [SEVERE ] updating countdown to 59948
[14:32:49.635] [SEVERE ] updating countdown to 59947
[14:32:49.636] [SEVERE ] updating countdown to 59946
[14:32:49.637] [SEVERE ] updating countdown to 59945
[14:32:49.637] [SEVERE ] updating countdown to 59945
[14:32:49.638] [SEVERE ] updating countdown to 59944
[14:32:49.638] [SEVERE ] updating countdown to 59944
[14:32:49.638] [SEVERE ] updating countdown to 59944
[14:32:49.639] [SEVERE ] updating countdown to 59943
[14:32:49.640] [SEVERE ] updating countdown to 59942
