[14:07:56.585] [INFO   ] thread main starting.
[14:07:56.601] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:07:56.610] [SEVERE ] configuration file was loaded from resources directory.
[14:07:57.955] [INFO   ] thread dealer starting.
[14:07:57.957] [INFO   ] thread dealer starting.
[14:07:57.959] [SEVERE ] updating countdown to 60000
[14:07:57.963] [INFO   ] thread Player 0 starting.
[14:07:57.963] [INFO   ] thread Player 1 starting.
[14:07:58.079] [SEVERE ] placing card 0 in slot 5
[14:07:58.180] [SEVERE ] placing card 1 in slot 7
[14:07:58.281] [SEVERE ] placing card 2 in slot 9
[14:07:58.382] [SEVERE ] placing card 3 in slot 3
[14:07:58.484] [SEVERE ] placing card 4 in slot 11
[14:07:58.585] [SEVERE ] placing card 5 in slot 2
[14:07:58.686] [SEVERE ] placing card 6 in slot 6
[14:07:58.787] [SEVERE ] placing card 7 in slot 0
[14:07:58.888] [SEVERE ] placing card 8 in slot 4
[14:07:58.989] [SEVERE ] placing card 9 in slot 10
[14:07:59.090] [SEVERE ] placing card 10 in slot 1
[14:07:59.192] [SEVERE ] placing card 11 in slot 8
[14:07:59.193] [SEVERE ] updating countdown to 60000
[14:07:59.194] [SEVERE ] updating countdown to 59999
[14:07:59.194] [SEVERE ] updating countdown to 59999
[14:07:59.205] [SEVERE ] updating countdown to 59988
[14:07:59.206] [SEVERE ] updating countdown to 59987
[14:07:59.208] [SEVERE ] updating countdown to 59986
[14:07:59.209] [SEVERE ] updating countdown to 59984
[14:07:59.210] [SEVERE ] updating countdown to 59983
[14:07:59.211] [SEVERE ] updating countdown to 59982
[14:07:59.211] [SEVERE ] updating countdown to 59982
[14:07:59.212] [SEVERE ] updating countdown to 59981
[14:07:59.213] [SEVERE ] updating countdown to 59980
[14:07:59.214] [SEVERE ] updating countdown to 59979
[14:07:59.214] [SEVERE ] updating countdown to 59979
[14:07:59.215] [SEVERE ] updating countdown to 59978
[14:07:59.215] [SEVERE ] updating countdown to 59978
[14:07:59.216] [SEVERE ] updating countdown to 59977
[14:07:59.216] [SEVERE ] updating countdown to 59977
[14:07:59.217] [SEVERE ] updating countdown to 59976
[14:07:59.218] [SEVERE ] updating countdown to 59975
[14:07:59.219] [SEVERE ] updating countdown to 59974
[14:07:59.220] [SEVERE ] updating countdown to 59973
[14:07:59.220] [SEVERE ] updating countdown to 59973
[14:07:59.220] [SEVERE ] updating countdown to 59973
