[09:08:55.768] [INFO   ] thread main starting.
[09:08:55.785] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:08:55.795] [SEVERE ] configuration file was loaded from resources directory.
[09:08:57.155] [INFO   ] thread dealer starting.
[09:08:57.157] [INFO   ] thread dealer starting.
[09:08:57.159] [INFO   ] thread Player 0 starting.
[09:08:57.159] [INFO   ] thread Player 1 starting.
[09:08:57.168] [SEVERE ] updating countdown to 60000
[09:08:57.173] [SEVERE ] updating countdown to 60000
[09:08:57.174] [SEVERE ] updating countdown to 59994
[09:08:57.176] [SEVERE ] updating countdown to 59992
[09:08:57.177] [SEVERE ] updating countdown to 59991
[09:08:57.178] [SEVERE ] updating countdown to 59990
[09:08:57.180] [SEVERE ] updating countdown to 59988
[09:08:57.183] [SEVERE ] updating countdown to 59985
[09:08:57.186] [SEVERE ] updating countdown to 59982
[09:08:57.189] [SEVERE ] updating countdown to 59979
[09:08:57.190] [SEVERE ] updating countdown to 59978
[09:08:57.191] [SEVERE ] updating countdown to 59977
[09:08:57.192] [SEVERE ] updating countdown to 59976
[09:08:57.192] [SEVERE ] updating countdown to 59976
[09:08:57.193] [SEVERE ] updating countdown to 59975
[09:08:57.194] [SEVERE ] updating countdown to 59974
[09:08:57.195] [SEVERE ] updating countdown to 59973
[09:08:57.195] [SEVERE ] updating countdown to 59973
[09:08:57.197] [SEVERE ] updating countdown to 59971
[09:08:57.198] [SEVERE ] updating countdown to 59970
[09:08:57.200] [SEVERE ] updating countdown to 59968
[09:08:57.201] [SEVERE ] updating countdown to 59967
[09:08:57.202] [SEVERE ] updating countdown to 59967
[09:08:57.202] [SEVERE ] updating countdown to 59966
[09:08:57.204] [SEVERE ] updating countdown to 59964
[09:08:57.206] [SEVERE ] updating countdown to 59962
[09:08:57.207] [SEVERE ] updating countdown to 59961
[09:08:57.207] [SEVERE ] updating countdown to 59961
[09:08:57.208] [SEVERE ] updating countdown to 59960
[09:08:57.209] [SEVERE ] updating countdown to 59959
[09:08:57.209] [SEVERE ] updating countdown to 59959
[09:08:57.210] [SEVERE ] updating countdown to 59958
[09:08:57.210] [SEVERE ] updating countdown to 59958
[09:08:57.211] [SEVERE ] updating countdown to 59957
[09:08:57.211] [SEVERE ] updating countdown to 59957
[09:08:57.211] [SEVERE ] updating countdown to 59957
[09:08:57.212] [SEVERE ] updating countdown to 59956
[09:08:57.213] [SEVERE ] updating countdown to 59955
[09:08:57.214] [SEVERE ] updating countdown to 59955
[09:08:57.214] [SEVERE ] updating countdown to 59954
[09:08:57.215] [SEVERE ] updating countdown to 59953
[09:08:57.216] [SEVERE ] updating countdown to 59952
[09:08:57.216] [SEVERE ] updating countdown to 59952
[09:08:57.217] [SEVERE ] updating countdown to 59951
[09:08:57.218] [SEVERE ] updating countdown to 59950
[09:08:57.218] [SEVERE ] updating countdown to 59950
[09:08:57.219] [SEVERE ] updating countdown to 59949
[09:08:57.220] [SEVERE ] updating countdown to 59948
[09:08:57.221] [SEVERE ] updating countdown to 59947
[09:08:57.221] [SEVERE ] updating countdown to 59947
[09:08:57.222] [SEVERE ] updating countdown to 59946
[09:08:57.222] [SEVERE ] updating countdown to 59946
[09:08:57.223] [SEVERE ] updating countdown to 59945
[09:08:57.223] [SEVERE ] updating countdown to 59945
[09:08:57.223] [SEVERE ] updating countdown to 59945
[09:08:57.223] [SEVERE ] updating countdown to 59945
[09:08:57.224] [SEVERE ] updating countdown to 59944
[09:08:57.224] [SEVERE ] updating countdown to 59944
[09:08:57.225] [SEVERE ] updating countdown to 59943
[09:08:57.225] [SEVERE ] updating countdown to 59943
[09:08:57.226] [SEVERE ] updating countdown to 59942
[09:08:57.226] [SEVERE ] updating countdown to 59942
[09:08:57.226] [SEVERE ] updating countdown to 59942
[09:08:57.227] [SEVERE ] updating countdown to 59941
[09:08:57.227] [SEVERE ] updating countdown to 59941
[09:08:57.228] [SEVERE ] updating countdown to 59940
[09:08:57.228] [SEVERE ] updating countdown to 59940
[09:08:57.228] [SEVERE ] updating countdown to 59940
[09:08:57.229] [SEVERE ] updating countdown to 59939
[09:08:57.230] [SEVERE ] updating countdown to 59938
[09:08:57.231] [SEVERE ] updating countdown to 59937
[09:08:57.232] [SEVERE ] updating countdown to 59936
