[15:45:28.179] [INFO   ] thread main starting.
[15:45:28.202] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:45:28.211] [SEVERE ] configuration file was loaded from resources directory.
[15:45:29.717] [INFO   ] thread dealer starting.
[15:45:29.718] [INFO   ] thread dealer starting.
[15:45:29.718] [SEVERE ] updating countdown to 60000
[15:45:29.719] [INFO   ] thread Player 0 starting.
[15:45:29.719] [INFO   ] thread Player 1 starting.
[15:45:29.823] [SEVERE ] placing card 0 in slot 9
[15:45:29.923] [SEVERE ] placing card 1 in slot 4
[15:45:30.024] [SEVERE ] placing card 2 in slot 3
[15:45:30.126] [SEVERE ] placing card 3 in slot 8
[15:45:30.227] [SEVERE ] placing card 4 in slot 2
[15:45:30.328] [SEVERE ] placing card 5 in slot 7
[15:45:30.429] [SEVERE ] placing card 6 in slot 10
[15:45:30.530] [SEVERE ] placing card 7 in slot 0
[15:45:30.632] [SEVERE ] placing card 8 in slot 5
[15:45:30.732] [SEVERE ] placing card 9 in slot 6
[15:45:30.833] [SEVERE ] placing card 10 in slot 1
[15:45:30.934] [SEVERE ] placing card 11 in slot 11
[15:45:30.934] [SEVERE ] updating countdown to 60000
[15:45:30.935] [SEVERE ] updating countdown to 59999
[15:45:30.936] [SEVERE ] updating countdown to 59998
[15:45:30.936] [SEVERE ] updating countdown to 59998
[15:45:30.937] [SEVERE ] updating countdown to 59997
[15:45:30.937] [SEVERE ] updating countdown to 59997
[15:45:30.938] [SEVERE ] updating countdown to 59996
[15:45:30.938] [SEVERE ] updating countdown to 59996
[15:45:30.939] [SEVERE ] updating countdown to 59995
[15:45:30.940] [SEVERE ] updating countdown to 59994
[15:45:30.940] [SEVERE ] updating countdown to 59994
[15:45:30.941] [SEVERE ] updating countdown to 59993
[15:45:30.942] [SEVERE ] updating countdown to 59992
[15:45:30.944] [SEVERE ] updating countdown to 59990
[15:45:30.945] [SEVERE ] updating countdown to 59989
[15:45:30.946] [SEVERE ] updating countdown to 59989
[15:45:30.946] [SEVERE ] updating countdown to 59988
[15:45:30.947] [SEVERE ] updating countdown to 59987
[15:45:30.947] [SEVERE ] updating countdown to 59987
[15:45:30.948] [SEVERE ] updating countdown to 59986
[15:45:30.949] [SEVERE ] updating countdown to 59985
[15:45:30.949] [SEVERE ] updating countdown to 59985
[15:45:30.950] [SEVERE ] updating countdown to 59984
[15:45:30.950] [SEVERE ] updating countdown to 59984
[15:45:30.950] [SEVERE ] updating countdown to 59984
[15:45:30.951] [SEVERE ] updating countdown to 59983
[15:45:30.951] [SEVERE ] updating countdown to 59983
[15:45:30.951] [SEVERE ] updating countdown to 59983
[15:45:30.952] [SEVERE ] updating countdown to 59982
[15:45:30.952] [SEVERE ] updating countdown to 59982
[15:45:30.952] [SEVERE ] updating countdown to 59982
[15:45:30.953] [SEVERE ] updating countdown to 59981
[15:45:30.953] [SEVERE ] updating countdown to 59981
[15:45:30.954] [SEVERE ] updating countdown to 59981
[15:45:30.954] [SEVERE ] updating countdown to 59980
[15:45:30.954] [SEVERE ] updating countdown to 59980
[15:45:30.954] [SEVERE ] updating countdown to 59980
[15:45:30.955] [SEVERE ] updating countdown to 59979
[15:45:30.955] [SEVERE ] updating countdown to 59979
[15:45:30.955] [SEVERE ] updating countdown to 59979
[15:45:30.955] [SEVERE ] updating countdown to 59979
[15:45:30.956] [SEVERE ] updating countdown to 59978
[15:45:30.956] [SEVERE ] updating countdown to 59978
[15:45:30.956] [SEVERE ] updating countdown to 59978
[15:45:30.957] [SEVERE ] updating countdown to 59977
[15:45:30.957] [SEVERE ] updating countdown to 59977
[15:45:30.957] [SEVERE ] updating countdown to 59977
[15:45:30.957] [SEVERE ] updating countdown to 59977
[15:45:30.958] [SEVERE ] updating countdown to 59976
[15:45:30.958] [SEVERE ] updating countdown to 59976
[15:45:30.958] [SEVERE ] updating countdown to 59976
[15:45:30.959] [SEVERE ] updating countdown to 59975
[15:45:30.959] [SEVERE ] updating countdown to 59975
[15:45:30.960] [SEVERE ] updating countdown to 59974
[15:45:30.961] [SEVERE ] updating countdown to 59973
[15:45:30.961] [SEVERE ] updating countdown to 59973
[15:45:30.962] [SEVERE ] updating countdown to 59972
[15:45:30.962] [SEVERE ] updating countdown to 59972
[15:45:30.963] [SEVERE ] updating countdown to 59971
[15:45:30.963] [SEVERE ] updating countdown to 59971
[15:45:30.963] [SEVERE ] updating countdown to 59971
[15:45:30.964] [SEVERE ] updating countdown to 59970
[15:45:30.964] [SEVERE ] updating countdown to 59970
[15:45:30.965] [SEVERE ] updating countdown to 59969
[15:45:30.965] [SEVERE ] updating countdown to 59969
[15:45:30.965] [SEVERE ] updating countdown to 59969
[15:45:30.966] [SEVERE ] updating countdown to 59968
[15:45:30.966] [SEVERE ] updating countdown to 59968
[15:45:30.967] [SEVERE ] updating countdown to 59967
[15:45:30.968] [SEVERE ] updating countdown to 59966
[15:45:30.968] [SEVERE ] updating countdown to 59966
[15:45:30.969] [SEVERE ] updating countdown to 59965
[15:45:30.969] [SEVERE ] updating countdown to 59965
[15:45:30.969] [SEVERE ] updating countdown to 59965
[15:45:30.969] [SEVERE ] updating countdown to 59965
[15:45:30.970] [SEVERE ] updating countdown to 59964
[15:45:30.970] [SEVERE ] updating countdown to 59964
[15:45:30.970] [SEVERE ] updating countdown to 59964
[15:45:30.970] [SEVERE ] updating countdown to 59964
[15:45:30.971] [SEVERE ] updating countdown to 59963
[15:45:30.971] [SEVERE ] updating countdown to 59963
[15:45:30.971] [SEVERE ] updating countdown to 59963
[15:45:30.971] [SEVERE ] updating countdown to 59963
[15:45:30.972] [SEVERE ] updating countdown to 59962
[15:45:30.972] [SEVERE ] updating countdown to 59962
[15:45:30.972] [SEVERE ] updating countdown to 59962
[15:45:30.973] [SEVERE ] updating countdown to 59961
[15:45:30.973] [SEVERE ] updating countdown to 59961
[15:45:30.973] [SEVERE ] updating countdown to 59961
[15:45:30.973] [SEVERE ] updating countdown to 59961
[15:45:30.974] [SEVERE ] updating countdown to 59960
[15:45:30.974] [SEVERE ] updating countdown to 59960
[15:45:30.974] [SEVERE ] updating countdown to 59960
[15:45:30.974] [SEVERE ] updating countdown to 59960
[15:45:30.975] [SEVERE ] updating countdown to 59959
[15:45:30.976] [SEVERE ] updating countdown to 59958
[15:45:30.977] [SEVERE ] updating countdown to 59957
[15:45:30.977] [SEVERE ] updating countdown to 59957
[15:45:30.977] [SEVERE ] updating countdown to 59957
[15:45:30.978] [SEVERE ] updating countdown to 59956
[15:45:30.978] [SEVERE ] updating countdown to 59956
[15:45:30.978] [SEVERE ] updating countdown to 59956
[15:45:30.979] [SEVERE ] updating countdown to 59955
[15:45:30.979] [SEVERE ] updating countdown to 59955
[15:45:30.979] [SEVERE ] updating countdown to 59955
[15:45:30.979] [SEVERE ] updating countdown to 59955
[15:45:30.980] [SEVERE ] updating countdown to 59954
[15:45:30.980] [SEVERE ] updating countdown to 59954
[15:45:30.981] [SEVERE ] updating countdown to 59953
[15:45:30.982] [SEVERE ] updating countdown to 59952
[15:45:30.982] [SEVERE ] updating countdown to 59952
[15:45:30.982] [SEVERE ] updating countdown to 59952
[15:45:30.982] [SEVERE ] updating countdown to 59952
[15:45:30.983] [SEVERE ] updating countdown to 59951
[15:45:30.983] [SEVERE ] updating countdown to 59951
[15:45:30.983] [SEVERE ] updating countdown to 59951
[15:45:30.983] [SEVERE ] updating countdown to 59951
[15:45:30.984] [SEVERE ] updating countdown to 59950
[15:45:30.984] [SEVERE ] updating countdown to 59950
[15:45:30.984] [SEVERE ] updating countdown to 59950
[15:45:30.984] [SEVERE ] updating countdown to 59950
[15:45:30.985] [SEVERE ] updating countdown to 59949
[15:45:30.985] [SEVERE ] updating countdown to 59949
[15:45:30.985] [SEVERE ] updating countdown to 59949
[15:45:30.986] [SEVERE ] updating countdown to 59948
[15:45:30.986] [SEVERE ] updating countdown to 59948
[15:45:30.986] [SEVERE ] updating countdown to 59948
[15:45:30.986] [SEVERE ] updating countdown to 59948
[15:45:30.987] [SEVERE ] updating countdown to 59947
[15:45:30.987] [SEVERE ] updating countdown to 59947
[15:45:30.987] [SEVERE ] updating countdown to 59947
[15:45:30.988] [SEVERE ] updating countdown to 59946
[15:45:30.988] [SEVERE ] updating countdown to 59946
[15:45:30.988] [SEVERE ] updating countdown to 59946
[15:45:30.989] [SEVERE ] updating countdown to 59945
[15:45:30.989] [SEVERE ] updating countdown to 59945
[15:45:30.989] [SEVERE ] updating countdown to 59945
[15:45:30.989] [SEVERE ] updating countdown to 59945
[15:45:30.990] [SEVERE ] updating countdown to 59944
[15:45:30.990] [SEVERE ] updating countdown to 59944
[15:45:30.990] [SEVERE ] updating countdown to 59944
[15:45:30.991] [SEVERE ] updating countdown to 59943
[15:45:30.992] [SEVERE ] updating countdown to 59942
[15:45:30.993] [SEVERE ] updating countdown to 59941
[15:45:30.993] [SEVERE ] updating countdown to 59941
[15:45:30.993] [SEVERE ] updating countdown to 59941
[15:45:30.994] [SEVERE ] updating countdown to 59940
[15:45:30.994] [SEVERE ] updating countdown to 59940
[15:45:30.994] [SEVERE ] updating countdown to 59940
[15:45:30.994] [SEVERE ] updating countdown to 59940
[15:45:30.995] [SEVERE ] updating countdown to 59939
[15:45:30.995] [SEVERE ] updating countdown to 59939
[15:45:30.995] [SEVERE ] updating countdown to 59939
[15:45:30.996] [SEVERE ] updating countdown to 59938
[15:45:30.996] [SEVERE ] updating countdown to 59938
[15:45:30.996] [SEVERE ] updating countdown to 59938
[15:45:30.997] [SEVERE ] updating countdown to 59937
[15:45:30.997] [SEVERE ] updating countdown to 59937
[15:45:30.998] [SEVERE ] updating countdown to 59936
[15:45:30.998] [SEVERE ] updating countdown to 59936
[15:45:30.999] [SEVERE ] updating countdown to 59935
[15:45:30.999] [SEVERE ] updating countdown to 59935
[15:45:30.999] [SEVERE ] updating countdown to 59935
[15:45:30.999] [SEVERE ] updating countdown to 59935
[15:45:31.000] [SEVERE ] updating countdown to 59934
[15:45:31.000] [SEVERE ] updating countdown to 59934
[15:45:31.000] [SEVERE ] updating countdown to 59934
[15:45:31.000] [SEVERE ] updating countdown to 59934
[15:45:31.000] [SEVERE ] updating countdown to 59934
[15:45:31.001] [SEVERE ] updating countdown to 59933
[15:45:31.001] [SEVERE ] updating countdown to 59933
[15:45:31.001] [SEVERE ] updating countdown to 59933
[15:45:31.001] [SEVERE ] updating countdown to 59933
[15:45:31.002] [SEVERE ] updating countdown to 59932
[15:45:31.002] [SEVERE ] updating countdown to 59932
[15:45:31.002] [SEVERE ] updating countdown to 59932
[15:45:31.002] [SEVERE ] updating countdown to 59932
[15:45:31.003] [SEVERE ] updating countdown to 59931
[15:45:31.003] [SEVERE ] updating countdown to 59931
[15:45:31.003] [SEVERE ] updating countdown to 59931
[15:45:31.003] [SEVERE ] updating countdown to 59931
[15:45:31.004] [SEVERE ] updating countdown to 59930
[15:45:31.004] [SEVERE ] updating countdown to 59930
[15:45:31.004] [SEVERE ] updating countdown to 59930
[15:45:31.004] [SEVERE ] updating countdown to 59930
[15:45:31.005] [SEVERE ] updating countdown to 59929
[15:45:31.005] [SEVERE ] updating countdown to 59929
[15:45:31.005] [SEVERE ] updating countdown to 59929
[15:45:31.005] [SEVERE ] updating countdown to 59929
[15:45:31.006] [SEVERE ] updating countdown to 59928
[15:45:31.006] [SEVERE ] updating countdown to 59928
[15:45:31.006] [SEVERE ] updating countdown to 59928
[15:45:31.006] [SEVERE ] updating countdown to 59928
[15:45:31.006] [SEVERE ] updating countdown to 59928
[15:45:31.007] [SEVERE ] updating countdown to 59927
[15:45:31.007] [SEVERE ] updating countdown to 59927
[15:45:31.007] [SEVERE ] updating countdown to 59927
[15:45:31.008] [SEVERE ] updating countdown to 59926
[15:45:31.008] [SEVERE ] updating countdown to 59926
[15:45:31.009] [SEVERE ] updating countdown to 59925
[15:45:31.010] [SEVERE ] updating countdown to 59924
[15:45:31.011] [SEVERE ] updating countdown to 59923
[15:45:31.011] [SEVERE ] updating countdown to 59923
[15:45:31.012] [SEVERE ] updating countdown to 59922
