[09:16:10.917] [INFO   ] thread main starting.
[09:16:10.940] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:16:10.952] [SEVERE ] configuration file was loaded from resources directory.
[09:16:12.258] [INFO   ] thread dealer starting.
[09:16:12.259] [INFO   ] thread dealer starting.
[09:16:12.260] [SEVERE ] updating countdown to 60000
[09:16:12.262] [INFO   ] thread Player 0 starting.
[09:16:12.262] [INFO   ] thread Player 1 starting.
[09:16:12.376] [SEVERE ] placing card 0 in slot 5
[09:16:12.477] [SEVERE ] placing card 1 in slot 10
[09:16:12.577] [SEVERE ] placing card 2 in slot 2
[09:16:12.678] [SEVERE ] placing card 3 in slot 11
[09:16:12.779] [SEVERE ] placing card 4 in slot 3
[09:16:12.881] [SEVERE ] placing card 5 in slot 0
[09:16:12.982] [SEVERE ] placing card 6 in slot 4
[09:16:13.084] [SEVERE ] placing card 7 in slot 7
[09:16:13.185] [SEVERE ] placing card 8 in slot 8
[09:16:13.286] [SEVERE ] placing card 9 in slot 9
[09:16:13.387] [SEVERE ] placing card 10 in slot 1
[09:16:13.487] [SEVERE ] placing card 11 in slot 6
[09:16:13.488] [SEVERE ] updating countdown to 60000
[09:16:13.489] [SEVERE ] updating countdown to 59999
[09:16:13.489] [SEVERE ] updating countdown to 59999
[09:16:13.490] [SEVERE ] updating countdown to 59998
[09:16:13.491] [SEVERE ] updating countdown to 59997
[09:16:13.492] [SEVERE ] updating countdown to 59996
[09:16:13.493] [SEVERE ] updating countdown to 59995
[09:16:13.493] [SEVERE ] updating countdown to 59995
[09:16:13.494] [SEVERE ] updating countdown to 59994
[09:16:13.495] [SEVERE ] updating countdown to 59993
[09:16:13.496] [SEVERE ] updating countdown to 59992
[09:16:13.496] [SEVERE ] updating countdown to 59992
[09:16:13.497] [SEVERE ] updating countdown to 59991
[09:16:13.498] [SEVERE ] updating countdown to 59990
[09:16:13.500] [SEVERE ] updating countdown to 59988
[09:16:13.502] [SEVERE ] updating countdown to 59986
[09:16:13.503] [SEVERE ] updating countdown to 59985
[09:16:13.503] [SEVERE ] updating countdown to 59985
[09:16:13.504] [SEVERE ] updating countdown to 59984
[09:16:13.504] [SEVERE ] updating countdown to 59984
[09:16:13.505] [SEVERE ] updating countdown to 59983
[09:16:13.505] [SEVERE ] updating countdown to 59983
[09:16:13.505] [SEVERE ] updating countdown to 59983
[09:16:13.506] [SEVERE ] updating countdown to 59982
[09:16:13.506] [SEVERE ] updating countdown to 59982
[09:16:13.507] [SEVERE ] updating countdown to 59981
[09:16:13.507] [SEVERE ] updating countdown to 59981
[09:16:13.508] [SEVERE ] updating countdown to 59980
[09:16:13.508] [SEVERE ] updating countdown to 59980
[09:16:13.509] [SEVERE ] updating countdown to 59979
[09:16:13.509] [SEVERE ] updating countdown to 59979
[09:16:13.509] [SEVERE ] updating countdown to 59979
[09:16:13.510] [SEVERE ] updating countdown to 59978
[09:16:13.510] [SEVERE ] updating countdown to 59978
[09:16:13.511] [SEVERE ] updating countdown to 59977
[09:16:13.511] [SEVERE ] updating countdown to 59977
[09:16:13.512] [SEVERE ] updating countdown to 59976
[09:16:13.512] [SEVERE ] updating countdown to 59976
[09:16:13.512] [SEVERE ] updating countdown to 59976
[09:16:13.513] [SEVERE ] updating countdown to 59975
[09:16:13.513] [SEVERE ] updating countdown to 59975
[09:16:13.514] [SEVERE ] updating countdown to 59974
[09:16:13.514] [SEVERE ] updating countdown to 59974
[09:16:13.515] [SEVERE ] updating countdown to 59973
[09:16:13.518] [SEVERE ] updating countdown to 59970
[09:16:13.520] [SEVERE ] updating countdown to 59968
[09:16:13.521] [SEVERE ] updating countdown to 59967
[09:16:13.522] [SEVERE ] updating countdown to 59966
[09:16:13.523] [SEVERE ] updating countdown to 59965
[09:16:13.523] [SEVERE ] updating countdown to 59965
[09:16:13.524] [SEVERE ] updating countdown to 59964
[09:16:13.524] [SEVERE ] updating countdown to 59964
[09:16:13.524] [SEVERE ] updating countdown to 59964
[09:16:13.525] [SEVERE ] updating countdown to 59963
[09:16:13.525] [SEVERE ] updating countdown to 59963
[09:16:13.526] [SEVERE ] updating countdown to 59962
[09:16:13.526] [SEVERE ] updating countdown to 59962
[09:16:13.527] [SEVERE ] updating countdown to 59961
[09:16:13.527] [SEVERE ] updating countdown to 59961
[09:16:13.527] [SEVERE ] updating countdown to 59961
[09:16:13.528] [SEVERE ] updating countdown to 59960
[09:16:13.528] [SEVERE ] updating countdown to 59960
[09:16:13.528] [SEVERE ] updating countdown to 59960
[09:16:13.529] [SEVERE ] updating countdown to 59959
[09:16:13.529] [SEVERE ] updating countdown to 59959
[09:16:13.530] [SEVERE ] updating countdown to 59958
[09:16:13.530] [SEVERE ] updating countdown to 59958
[09:16:13.531] [SEVERE ] updating countdown to 59957
[09:16:13.531] [SEVERE ] updating countdown to 59957
[09:16:13.532] [SEVERE ] updating countdown to 59956
[09:16:13.534] [SEVERE ] updating countdown to 59954
[09:16:13.536] [SEVERE ] updating countdown to 59952
[09:16:13.536] [SEVERE ] updating countdown to 59952
[09:16:13.538] [SEVERE ] updating countdown to 59950
[09:16:13.539] [SEVERE ] updating countdown to 59949
[09:16:13.539] [SEVERE ] updating countdown to 59949
[09:16:13.540] [SEVERE ] updating countdown to 59949
[09:16:13.540] [SEVERE ] updating countdown to 59948
[09:16:13.540] [SEVERE ] updating countdown to 59948
[09:16:13.541] [SEVERE ] updating countdown to 59947
[09:16:13.541] [SEVERE ] updating countdown to 59947
[09:16:13.541] [SEVERE ] updating countdown to 59947
[09:16:13.541] [SEVERE ] updating countdown to 59947
[09:16:13.542] [SEVERE ] updating countdown to 59946
[09:16:13.542] [SEVERE ] updating countdown to 59946
[09:16:13.542] [SEVERE ] updating countdown to 59946
[09:16:13.543] [SEVERE ] updating countdown to 59945
[09:16:13.543] [SEVERE ] updating countdown to 59945
[09:16:13.544] [SEVERE ] updating countdown to 59944
[09:16:13.544] [SEVERE ] updating countdown to 59944
[09:16:13.544] [SEVERE ] updating countdown to 59944
[09:16:13.545] [SEVERE ] updating countdown to 59943
[09:16:13.545] [SEVERE ] updating countdown to 59943
[09:16:13.545] [SEVERE ] updating countdown to 59943
[09:16:13.546] [SEVERE ] updating countdown to 59942
[09:16:13.563] [SEVERE ] updating countdown to 59925
[09:16:13.563] [SEVERE ] updating countdown to 59925
[09:16:13.564] [SEVERE ] updating countdown to 59924
